nameLast,nameFirst,playerID,lgID,Age,year,reliability,mIP,mW,mL,mSV,mH,mR,mER,bsrER,ERA,mHR,mSO,mBB,mIBB,mHBP,mWP,mBK
Gagne,Eric,gagneer01,NL,29,2005,0.65,74,4,3,35,55,25,22,23,2.74,6,91,22,3,3,2,0
Rodriguez,Francisco,rodrifr03,AL,23,2005,0.62,76,5,3,6,56,29,26,25,3.02,7,87,29,2,2,4,0
Santana,Johan,santajo01,AL,26,2005,0.81,179,14,6,0,139,66,62,61,3.09,19,197,52,1,6,7,1
Wagner,Billy,wagnebi02,NL,34,2005,0.6,58,3,2,20,46,22,20,20,3.1,6,58,16,3,2,2,0
Benitez,Armando,benitar01,NL,33,2005,0.61,67,3,3,26,53,24,22,25,3.16,7,60,27,3,1,2,0
Schmidt,Jason,schmija01,NL,32,2005,0.83,193,14,7,0,155,74,70,66,3.17,17,195,62,3,4,7,1
Hawkins,La Troy,hawkila01,NL,33,2005,0.64,74,5,3,9,68,28,25,29,3.28,8,62,19,3,2,3,0
Lidge,Brad,lidgebr01,NL,29,2005,0.63,81,5,4,12,64,31,29,30,3.28,8,98,31,5,5,3,1
Rivera,Mariano,riverma01,AL,36,2005,0.61,71,4,3,33,67,26,24,28,3.3,6,57,20,2,4,1,0
Foulke,Keith,foulkke01,AL,33,2005,0.65,75,5,3,23,65,28,26,29,3.3,9,65,20,3,5,2,0
Zambrano,Carlos,zambrca01,NL,24,2005,0.81,183,12,9,0,157,73,64,71,3.32,13,158,73,6,12,6,1
Nathan,Joe,nathajo01,AL,31,2005,0.59,69,4,3,18,57,26,25,26,3.33,6,66,25,2,3,4,0
Johnson,Randy,johnsra05,NL,42,2005,0.82,194,12,11,0,170,82,71,73,3.34,20,207,48,3,10,3,1
Isringhausen,Jason,isrinja01,NL,33,2005,0.58,67,3,3,28,57,29,25,25,3.36,6,58,23,3,2,3,0
Smoltz,John,smoltjo01,NL,38,2005,0.63,72,2,2,33,67,27,26,28,3.38,7,67,18,2,1,3,0
Otsuka,Akinori,otsukak01,NL,33,2005,0.47,64,5,3,1,57,24,22,26,3.38,7,58,23,4,1,1,0
Mota,Guillermo,motagu01,NL,32,2005,0.68,84,6,5,2,71,32,31,32,3.38,8,71,30,4,3,3,0
Gordon,Tom,gordoto01,AL,38,2005,0.63,77,6,5,5,66,33,30,29,3.45,7,74,27,3,3,3,0
Martinez,Pedro,martipe02,AL,34,2005,0.82,187,14,7,0,166,79,72,73,3.49,18,192,54,1,12,4,0
Prior,Mark,priorma01,NL,25,2005,0.77,140,9,5,0,127,57,53,56,3.5,14,156,45,3,5,4,0
Cordero,Francisco,cordefr01,AL,30,2005,0.61,69,4,4,23,63,29,25,29,3.52,5,66,29,3,2,2,1
