"nameLast","nameFirst","playerID","lgID","Age","year","reliability","mIP","mW","mL","mSV","mH","mR","mER","bsrER","ERA","mHR","mSO","mBB","mIBB","mHBP","mWP","mBK"
"Perisho","Matt","perisma01","AL",27,2002,0.56,64.00,3.00,4.00,0.00,73.00,43.00,38.00,38.00,5.34,9.00,44.00,27.00,2.00,4.00,2.00,0.00
"Roberts","Willis","roberwi01","AL",27,2002,0.60,105.00,7.00,7.00,4.00,110.00,58.00,55.00,54.00,4.67,12.00,76.00,41.00,2.00,7.00,3.00,1.00
"Plesac","Dan","plesada01","AL",40,2002,0.49,52.00,4.00,4.00,1.00,50.00,27.00,24.00,25.00,4.24,6.00,51.00,23.00,3.00,2.00,2.00,0.00
"Pineiro","Joel","pineijo01","AL",24,2002,0.50,83.00,6.00,3.00,0.00,72.00,37.00,31.00,31.00,3.36,7.00,61.00,28.00,1.00,3.00,2.00,0.00
"Pineda","Luis","pinedlu01","AL",28,2002,0.17,34.00,2.00,2.00,0.00,34.00,18.00,17.00,17.00,4.50,4.00,24.00,14.00,1.00,1.00,1.00,0.00
"Pichardo","Hipolito","pichahi01","AL",33,2002,0.47,49.00,3.00,2.00,0.00,52.00,27.00,23.00,24.00,4.32,4.00,31.00,17.00,2.00,4.00,2.00,0.00
"Phelps","Travis","phelptr01","AL",25,2002,0.41,56.00,3.00,3.00,3.00,52.00,28.00,25.00,24.00,3.94,6.00,45.00,20.00,1.00,3.00,2.00,0.00
"Pettyjohn","Adam","pettyad01","AL",25,2002,0.42,77.00,3.00,5.00,0.00,85.00,47.00,42.00,41.00,4.85,10.00,53.00,26.00,2.00,4.00,3.00,0.00
"Pote","Lou","potelo01","AL",31,2002,0.59,74.00,3.00,2.00,2.00,75.00,36.00,33.00,35.00,4.14,8.00,56.00,26.00,3.00,3.00,3.00,0.00
"Petkovsek","Mark","petkoma01","AL",37,2002,0.64,72.00,3.00,3.00,1.00,82.00,43.00,39.00,40.00,4.94,9.00,40.00,23.00,3.00,4.00,3.00,0.00
"Prieto","Ariel","prietar01","AL",33,2002,0.22,47.00,2.00,3.00,0.00,52.00,26.00,23.00,25.00,4.60,5.00,32.00,17.00,1.00,3.00,1.00,0.00
"Percival","Troy","percitr01","AL",33,2002,0.55,59.00,4.00,4.00,27.00,51.00,27.00,25.00,24.00,3.74,6.00,55.00,22.00,2.00,3.00,2.00,0.00
"Patterson","Danny","patteda04","AL",31,2002,0.58,63.00,4.00,3.00,0.00,67.00,30.00,28.00,30.00,4.14,6.00,37.00,17.00,3.00,3.00,2.00,0.00
"Parris","Steve","parrist01","AL",35,2002,0.76,132.00,7.00,9.00,0.00,151.00,73.00,67.00,75.00,4.84,19.00,76.00,47.00,4.00,4.00,5.00,0.00
"Parrish","John","parrijo01","AL",25,2002,0.34,50.00,3.00,3.00,0.00,50.00,31.00,28.00,27.00,4.95,7.00,39.00,25.00,1.00,3.00,2.00,0.00
"Parque","Jim","parquji01","AL",26,2002,0.70,92.00,5.00,5.00,0.00,99.00,52.00,46.00,48.00,4.60,11.00,60.00,32.00,1.00,6.00,2.00,1.00
"Paronto","Chad","paronch01","AL",27,2002,0.23,39.00,2.00,3.00,0.00,41.00,24.00,20.00,20.00,4.62,5.00,27.00,14.00,1.00,2.00,1.00,0.00
