nameLast,nameFirst,playerID,lgID,Age,year,reliability,mIP,mW,mL,mSV,mH,mR,mER,bsrER,ERA,mHR,mSO,mBB,mIBB,mHBP,mWP,mBK
Isringhausen,Jason,isrinja01,NL,34,2006,0.58,62,2,3,28,53,24,22,24,3.34,5,51,24,3,2,2,0
Duchscherer,Justin,duchsju01,AL,29,2006,0.64,78,5,4,2,70,31,28,30,3.35,8,60,22,3,3,2,0
Cain,Matt,cainma01,NL,22,2006,0.34,83,4,4,0,67,34,32,30,3.36,8,61,30,2,2,2,0
Halladay,Roy,hallaro01,AL,29,2006,0.78,144,11,6,0,136,58,53,55,3.38,13,105,29,2,5,3,1
Harden,Rich,harderi01,AL,25,2006,0.76,140,9,6,0,119,59,54,51,3.38,11,121,50,2,3,5,0
Shields,Scot,shielsc01,AL,31,2006,0.7,83,6,5,3,74,34,31,32,3.42,6,73,28,2,3,5,0
Smoltz,John,smoltjo01,NL,39,2006,0.77,159,7,6,20,152,61,58,63,3.42,14,123,40,5,2,4,1
Sheets,Ben,sheetbe01,NL,28,2006,0.81,162,9,9,0,150,70,61,62,3.42,18,147,31,2,3,6,0
Hensley,Clay,henslcl01,NL,27,2006,0.35,50,2,2,0,45,21,18,20,3.42,4,35,18,2,1,2,0
Beckett,Josh,beckejo02,NL,26,2006,0.79,165,12,8,0,146,71,65,63,3.49,14,152,55,3,6,5,0
Gonzalez,Mike,gonzami02,NL,28,2006,0.48,54,3,3,2,47,21,20,22,3.5,5,51,22,2,2,3,0
Otsuka,Akinori,otsukak01,NL,34,2006,0.56,64,4,5,1,58,27,24,26,3.52,5,56,27,5,2,1,0
Oswalt,Roy,oswalro01,NL,29,2006,0.83,204,16,10,0,203,81,75,85,3.53,17,161,50,3,8,5,1
Valverde,Jose,valvejo01,NL,27,2006,0.54,61,3,3,10,52,25,23,25,3.54,7,61,23,2,2,3,0
Benitez,Armando,benitar01,NL,34,2006,0.53,47,2,3,18,40,20,18,19,3.54,5,37,19,2,1,1,0
Ayala,Luis,ayalalu01,NL,28,2006,0.64,70,6,6,1,70,27,25,30,3.54,7,46,17,3,4,2,0
Carrasco,Hector,carrahe01,NL,37,2006,0.53,71,4,4,1,62,29,26,30,3.55,7,55,30,4,4,3,1
Cordero,Francisco,cordefr01,AL,31,2006,0.62,67,3,3,26,62,28,25,28,3.56,5,63,26,2,3,2,0
Farnsworth,Kyle,farnsky01,NL,30,2006,0.61,67,3,3,6,57,29,26,27,3.56,7,69,28,1,2,3,0
Maholm,Paul,maholpa01,NL,24,2006,0.32,81,5,4,0,73,33,31,33,3.56,7,58,30,2,4,2,0
Thompson,Brad,thompbr01,NL,24,2006,0.38,53,3,2,1,48,24,21,21,3.57,5,35,17,2,3,1,0
Hudson,Tim,hudsoti01,NL,31,2006,0.82,175,12,7,0,171,72,66,73,3.57,14,110,53,5,8,4,0
Hoffman,Trevor,hoffmtr01,NL,39,2006,0.52,59,2,4,29,57,26,23,24,3.58,5,49,17,1,2,2,0
Cabrera,Fernando,cabrefe01,AL,25,2006,0.28,41,2,2,0,38,18,16,17,3.62,4,32,13,1,1,1,0
Schmidt,Jason,schmija01,NL,33,2006,0.81,169,12,7,0,146,74,70,66,3.62,15,160,65,3,4,6,1
Torres,Salomon,torresa01,NL,34,2006,0.69,83,5,5,1,78,36,32,35,3.63,8,54,28,4,4,3,0
Prior,Mark,priorma01,NL,26,2006,0.78,155,10,6,0,139,66,61,64,3.63,18,166,52,3,5,5,1
Burnett,A.J.,burneaj01,NL,29,2006,0.77,176,10,10,0,159,82,72,70,3.63,13,157,65,2,6,9,0
Riske,David,riskeda01,AL,30,2006,0.63,69,4,3,2,61,30,27,29,3.65,9,54,22,2,3,2,0
Guardado,Eddie,guarded01,AL,36,2006,0.55,58,3,3,23,54,26,23,24,3.65,7,45,17,2,1,2,0
Buehrle,Mark,buehrma01,AL,27,2006,0.84,203,13,9,0,206,92,80,86,3.68,21,129,43,3,5,2,1
Donnelly,Brendan,donnebr01,AL,35,2006,0.57,62,5,3,0,58,27,25,26,3.7,7,52,20,2,2,2,0
Miller,Matt,millema02,AL,35,2006,0.43,45,2,2,1,42,20,18,19,3.7,4,34,16,3,3,1,1
Wheeler,Dan,wheelda01,NL,29,2006,0.6,68,3,3,1,64,28,27,29,3.71,8,56,22,3,2,2,0
Medders,Brandon,meddebr01,NL,26,2006,0.25,40,3,2,0,37,17,16,17,3.71,4,33,14,1,2,1,0
Johnson,Randy,johnsra05,AL,43,2006,0.83,197,13,10,0,184,91,82,81,3.72,24,179,44,2,10,3,1
Webb,Brandon,webbbr01,NL,27,2006,0.83,195,10,12,0,185,88,76,85,3.72,17,153,71,6,6,12,1
Politte,Cliff,politcl01,AL,32,2006,0.57,64,4,3,2,57,28,26,27,3.73,8,49,22,3,3,2,0
Eyre,Scott,eyresc01,NL,34,2006,0.58,64,3,3,0,58,28,26,27,3.73,6,52,26,2,2,3,0
Blanton,Joe,blantjo01,AL,26,2006,0.7,159,9,9,0,145,72,66,66,3.74,18,99,52,3,5,4,1
Betancourt,Rafael,betanra01,AL,31,2006,0.58,65,4,4,2,63,29,26,28,3.74,7,59,19,3,1,2,0
Seanez,Rudy,seaneru01,NL,38,2006,0.51,60,4,3,0,56,26,24,26,3.75,6,58,23,3,2,4,0
Timlin,Mike,timlimi01,AL,40,2006,0.64,73,5,4,5,76,31,29,32,3.76,6,50,19,3,3,2,0
Hawkins,LaTroy,hawkila01,NL,34,2006,0.61,61,4,5,8,60,26,24,27,3.76,7,48,20,3,1,2,0
Baez,Danys,baezda01,AL,29,2006,0.62,68,4,4,25,64,31,27,30,3.77,7,49,25,1,3,2,0
Mota,Guillermo,motagu01,NL,33,2006,0.65,68,4,4,2,62,30,29,28,3.77,6,56,26,4,2,3,0
Sisco,Andrew,siscoan01,AL,23,2006,0.46,63,3,4,0,59,27,25,28,3.79,6,54,26,2,2,2,0
Calero,Kiko,calerki01,AL,31,2006,0.53,57,3,2,1,51,25,24,24,3.79,7,48,18,1,2,2,0
Wise,Matt,wisema01,NL,31,2006,0.53,63,3,4,0,54,30,28,25,3.79,6,49,23,3,3,2,0
Urbina,Ugueth,urbinug01,NL,32,2006,0.61,70,4,5,13,58,32,30,29,3.79,9,69,32,3,2,2,0
King,Ray,kingra01,NL,32,2006,0.53,51,4,3,0,49,23,21,22,3.79,4,34,20,1,2,2,0
Majewski,Gary,majewga01,NL,26,2006,0.53,70,3,4,1,69,32,28,31,3.79,5,46,26,3,4,1,0
Madson,Ryan,madsory01,NL,26,2006,0.61,76,6,4,0,72,34,31,33,3.79,8,61,23,4,4,5,0
Loe,Kameron,loeka01,AL,25,2006,0.52,78,6,4,1,75,38,33,33,3.81,7,46,26,3,3,2,0
Tejeda,Robinson,tejedro01,NL,24,2006,0.49,85,5,4,0,74,39,36,36,3.81,7,69,40,3,6,3,1
Lowry,Noah,lowryno01,NL,26,2006,0.75,169,11,8,0,160,76,71,72,3.81,17,138,59,2,5,3,0
Shackelford,Brian,shackbr01,NL,30,2006,0.25,40,2,2,0,37,18,17,17,3.82,4,28,14,1,3,2,0
Fultz,Aaron,fultzaa01,NL,33,2006,0.59,66,3,2,0,60,30,28,28,3.82,7,49,25,3,3,2,0
Sabathia,C.C.,sabatcc01,AL,26,2006,0.81,177,12,9,0,166,81,77,74,3.84,18,135,57,2,6,5,1
Dotel,Octavio,doteloc01,AL,33,2006,0.53,41,3,3,9,36,19,18,17,3.84,5,39,15,2,2,2,0
Mateo,Julio,mateoju01,AL,29,2006,0.64,75,3,4,0,71,33,31,33,3.84,10,51,19,3,5,2,0
Qualls,Chad,quallch01,NL,28,2006,0.53,68,5,3,0,66,31,28,30,3.84,7,50,22,2,4,1,0
Flores,Randy,florera01,NL,31,2006,0.36,48,3,2,0,46,24,20,21,3.84,5,38,16,1,3,2,0
Zito,Barry,zitoba01,AL,28,2006,0.83,195,11,11,0,174,93,85,82,3.85,22,141,71,2,9,4,0
Cotts,Neal,cottsne01,AL,26,2006,0.55,62,4,2,0,54,30,27,26,3.85,6,51,25,2,3,4,0
Baker,Scott,bakersc02,AL,25,2006,0.38,83,5,5,0,79,39,36,35,3.85,9,56,25,1,2,2,0
Marte,Damaso,marteda01,AL,31,2006,0.58,55,4,3,4,50,24,22,25,3.85,6,49,25,3,2,2,0
Rauch,Jon,rauchjo01,NL,28,2006,0.37,49,3,3,0,46,22,21,21,3.86,5,36,18,2,2,2,0
Penny,Brad,pennybr01,NL,28,2006,0.79,162,9,9,0,162,72,68,71,3.86,16,117,46,4,4,4,1
Wood,Kerry,woodke02,NL,29,2006,0.72,99,6,6,0,86,44,42,43,3.86,13,100,38,1,6,4,0
Tavarez,Julian,tavarju01,NL,33,2006,0.61,64,4,3,4,64,29,26,29,3.87,5,44,21,3,5,2,0
Speier,Justin,speieju01,AL,33,2006,0.61,65,3,4,3,60,29,27,29,3.88,9,49,20,2,4,2,0
Escobar,Kelvim,escobke01,AL,30,2006,0.74,101,6,5,1,95,45,43,44,3.88,10,87,35,1,4,5,0
Taschner,Jack,taschja01,NL,28,2006,0.2,36,2,2,0,34,16,15,16,3.88,3,27,15,1,1,1,0
Munter,Scott,muntesc01,NL,26,2006,0.3,44,2,2,0,44,21,18,20,3.89,4,27,15,1,2,1,0
Vargas,Jason,vargaja01,NL,23,2006,0.45,89,6,5,0,85,42,39,38,3.89,7,70,33,4,4,2,0
Wuertz,Michael,wuertmi01,NL,28,2006,0.52,66,4,2,0,58,32,29,28,3.89,7,62,30,4,1,4,0
Boyer,Blaine,boyerbl01,NL,25,2006,0.3,44,3,2,0,41,20,19,19,3.89,4,35,17,1,2,2,0
Davis,Doug,davisdo02,NL,31,2006,0.82,192,10,11,0,181,87,81,85,3.89,20,158,77,4,5,4,1
Ray,Chris,raych01,AL,24,2006,0.31,45,2,3,0,43,21,19,20,3.9,5,37,16,2,2,1,0
Feldman,Scott,feldmsc01,AL,23,2006,0.1,30,2,2,0,29,14,13,13,3.9,3,20,9,1,1,1,0
Francisco,Frank,francfr01,AL,27,2006,0.28,30,2,1,0,28,14,13,13,3.9,3,24,11,1,1,1,0
Jenks,Bobby,jenksbo01,AL,25,2006,0.31,45,2,2,3,43,21,19,20,3.9,5,40,15,2,2,2,0
Hammond,Chris,hammoch01,NL,40,2006,0.56,60,4,2,0,60,27,25,27,3.9,7,39,18,1,2,1,0
Patterson,John,pattejo02,NL,28,2006,0.76,167,8,8,0,156,75,71,74,3.91,19,149,61,8,7,6,1
Madritsch,Bobby,madribo01,AL,30,2006,0.41,62,4,3,0,59,29,27,27,3.92,6,41,21,1,3,2,0
Witasick,Jay,witasja01,AL,34,2006,0.57,63,2,4,1,60,31,26,29,3.93,7,53,24,2,3,4,0
Millwood,Kevin,millwke01,AL,32,2006,0.8,170,9,9,0,172,80,72,77,3.94,18,126,51,2,5,3,0
Foulke,Keith,foulkke01,AL,34,2006,0.59,56,4,3,16,53,25,24,25,3.94,7,44,16,2,4,1,0
Mulder,Mark,muldema01,NL,29,2006,0.82,185,14,8,0,184,83,78,84,3.94,18,115,63,2,8,8,0
Accardo,Jeremy,accarje01,NL,25,2006,0.25,40,2,3,0,38,19,18,17,3.94,4,28,14,1,2,1,0
Williams,Todd,willito02,AL,35,2006,0.52,66,4,4,0,65,32,28,30,3.95,6,37,22,2,4,3,0
Chacin,Gustavo,chacigu01,AL,26,2006,0.7,163,10,8,0,164,76,69,74,3.95,16,102,54,3,7,3,0
Kazmir,Scott,kazmisc01,AL,22,2006,0.7,156,9,8,0,143,76,68,69,3.95,13,143,72,2,8,6,1
Seo,Jae Weong,seoja01,NL,29,2006,0.72,115,7,6,0,117,52,49,52,3.95,13,70,34,4,3,2,0
Westbrook,Jake,westbja01,AL,29,2006,0.82,184,12,11,0,185,94,82,80,3.96,17,103,53,3,7,4,0
Perez,Odalis,perezod01,NL,29,2006,0.77,134,7,7,0,131,64,60,58,3.96,16,92,36,3,2,3,1
Fuentes,Brian,fuentbr01,NL,31,2006,0.59,67,3,4,12,62,30,28,31,3.96,7,65,28,3,6,4,0
Hernandez,Livan,hernali01,NL,31,2006,0.85,209,11,10,0,212,93,88,96,3.96,21,139,68,8,10,3,1
Garcia,Freddy,garcifr02,AL,31,2006,0.83,195,12,9,0,190,90,86,86,3.97,22,138,57,2,5,12,0
Haren,Danny,harenda01,AL,26,2006,0.75,169,11,10,0,166,82,75,74,3.97,19,122,46,3,6,5,0
Spurling,Chris,spurlch01,AL,29,2006,0.52,60,3,3,0,57,29,27,26,3.98,7,32,19,3,2,2,0
Frasor,Jason,frasoja01,AL,29,2006,0.57,69,4,5,5,66,32,30,31,3.98,7,52,26,2,3,2,1
Garland,Jon,garlajo01,AL,27,2006,0.83,192,13,10,0,187,92,86,84,3.98,24,106,54,2,5,4,0
Saenz,Chris,saenzch01,NL,25,2006,0.04,61,4,3,0,58,29,27,27,3.98,6,46,22,2,3,2,0
Mercker,Kent,merckke01,NL,38,2006,0.56,61,3,2,2,60,27,25,29,3.98,7,46,24,3,3,2,0
Williams,Jerome,willije02,NL,25,2006,0.74,133,8,8,0,125,64,59,59,3.99,14,86,48,2,10,3,1
Jones,Todd,jonesto02,NL,38,2006,0.63,70,4,5,14,71,32,30,32,3.99,6,52,23,3,3,2,0
Wang,Chien-Ming,wangch01,AL,26,2006,0.57,116,8,6,0,114,58,53,50,4,11,62,34,3,5,3,0
Hermanson,Dustin,hermadu01,AL,34,2006,0.65,72,3,5,15,71,35,31,33,4,8,46,23,2,2,3,0
Rasner,Darrell,rasneda01,NL,25,2006,0.08,36,2,2,0,34,17,16,16,4,4,26,13,1,2,1,0
Heilman,Aaron,heilmaa01,NL,28,2006,0.63,90,4,5,2,84,43,41,39,4,9,77,35,3,4,2,1
Looper,Braden,loopebr01,NL,32,2006,0.61,63,3,5,19,66,29,26,30,4,6,40,20,2,3,2,0
DiNardo,Lenny,dinarle01,AL,27,2006,0.27,37,2,2,0,38,19,16,17,4.01,4,27,12,1,1,1,0
Padilla,Juan,padilju01,NL,29,2006,0.38,46,3,2,0,45,21,20,21,4.01,5,30,17,2,2,1,0
Bergmann,Jay,bergmja01,NL,25,2006,0.18,37,2,2,0,35,17,16,17,4.01,4,30,15,1,2,1,0
Adams,Mike,adamsmi03,NL,28,2006,0.35,37,2,2,0,36,17,16,17,4.01,4,28,14,1,1,1,0
Walker,Jamie,walkeja01,AL,35,2006,0.56,56,3,3,1,58,27,24,26,4.02,7,38,15,2,2,2,0
Ohman,Will,ohmanwi01,NL,29,2006,0.33,47,2,2,0,43,21,20,22,4.02,6,39,20,2,2,3,0
James,Chuck,jamesch03,NL,25,2006,0.06,28,2,1,0,27,13,12,13,4.02,3,21,10,1,1,1,0
Soriano,Rafael,soriara01,AL,27,2006,0.23,29,2,2,0,28,14,13,13,4.03,3,24,9,1,1,1,0
Burgos,Ambiorix,burgoam01,AL,22,2006,0.42,57,3,4,1,54,27,25,26,4.03,6,49,22,1,3,4,1
Colon,Bartolo,colonba01,AL,33,2006,0.83,192,15,9,0,191,92,86,86,4.03,26,135,50,1,4,3,1
Flores,Ron,florero01,AL,27,2006,0.09,29,2,1,0,29,14,13,13,4.03,3,20,9,1,1,1,0
Marcum,Shaun,marcush01,AL,25,2006,0.08,29,2,1,0,28,14,13,13,4.03,3,20,10,1,1,1,0
Sosa,Jorge,sosajo02,NL,29,2006,0.73,115,8,6,0,111,52,48,55,4.03,13,83,53,5,2,4,0
Schilling,Curt,schilcu01,AL,40,2006,0.77,117,9,6,3,123,55,53,52,4.04,13,98,25,1,3,2,0
Rupe,Josh,rupejo01,AL,24,2006,0.1,39,2,2,0,37,19,18,17,4.04,4,27,13,1,2,2,0
Wickman,Bob,wickmbo01,AL,37,2006,0.48,59,2,4,24,60,26,24,29,4.04,8,40,20,2,2,1,0
McCarthy,Brandon,mccarbr01,AL,23,2006,0.43,88,5,4,0,83,42,40,39,4.04,13,63,25,1,3,2,1
Radke,Brad,radkebr01,AL,34,2006,0.82,182,9,9,0,196,87,80,84,4.05,25,110,28,2,6,2,0
Orvella,Chad,orvelch01,AL,26,2006,0.36,50,3,3,1,49,26,22,23,4.05,5,38,19,1,2,1,0
Osoria,Franquelis,osorifr01,NL,25,2006,0.25,40,2,2,0,39,19,18,18,4.05,4,28,13,1,2,1,0
Thompson,Derek,thompde01,NL,25,2006,0.17,60,3,3,0,58,29,27,27,4.05,6,45,23,2,2,2,0
Reyes,Anthony,reyesan01,NL,25,2006,0.13,40,2,2,0,37,19,18,18,4.05,5,31,14,2,1,2,0
Johnson,Josh,johnsjo09,NL,22,2006,0.12,40,2,2,0,38,19,18,18,4.05,4,31,16,1,2,1,0
Rhodes,Arthur,rhodear01,AL,37,2006,0.49,51,3,3,3,51,24,22,24,4.06,6,40,18,2,1,1,0
Stanford,Jason,stanfja01,AL,29,2006,0.21,51,2,3,0,52,24,22,24,4.06,5,33,17,1,2,2,0
Silva,Carlos,silvaca01,AL,27,2006,0.8,164,9,7,0,185,76,70,78,4.06,19,74,27,2,5,4,0
Ford,Matt,fordma01,NL,25,2006,0.14,31,2,2,0,30,15,14,14,4.06,3,22,11,1,1,1,0
Eldred,Cal,eldreca01,NL,39,2006,0.54,51,3,2,1,52,23,21,25,4.06,6,38,19,2,2,2,0
Mecir,Jim,mecirji01,NL,36,2006,0.5,51,2,4,1,51,25,22,24,4.06,5,40,20,2,3,1,0
Chen,Bruce,chenbr01,AL,29,2006,0.73,158,9,8,0,151,76,69,74,4.07,24,107,51,1,6,2,1
Sanchez,Duaner,sanchdu01,NL,27,2006,0.61,74,4,4,3,72,35,32,35,4.07,8,55,28,3,4,5,0
Glavine,Tom,glavito02,NL,40,2006,0.82,187,10,12,0,201,87,81,88,4.07,16,96,62,6,3,2,0
Bradford,Chad,bradfch01,AL,32,2006,0.5,43,3,3,0,43,21,19,20,4.08,4,27,14,3,3,1,0
Lackey,John,lackejo01,AL,28,2006,0.82,184,12,9,0,189,87,81,86,4.08,17,149,58,3,8,12,0
Guerrier,Matt,guerrma02,AL,28,2006,0.49,64,2,3,0,65,31,28,30,4.08,7,42,21,3,3,2,0
Hasegawa,Shigetoshi,hasegsh01,AL,38,2006,0.61,65,3,4,2,66,32,30,29,4.08,6,37,21,2,2,1,0
Washburn,Jarrod,washbja01,AL,32,2006,0.8,164,9,9,0,170,75,71,78,4.09,20,93,46,1,7,4,0
Breslow,Craig,breslcr01,NL,26,2006,0.16,33,2,2,0,33,16,14,16,4.09,3,25,14,1,1,1,0
Villarreal,Oscar,villaos01,NL,25,2006,0.4,34,2,2,0,33,17,15,16,4.1,4,25,13,2,1,2,0
Carrara,Giovanni,carragi01,NL,38,2006,0.58,68,5,3,1,66,32,30,32,4.1,6,50,30,3,4,2,0
Byrd,Paul,byrdpa01,AL,36,2006,0.76,174,10,10,0,188,86,78,81,4.11,21,97,33,1,6,2,0
Williamson,Scott,willisc01,NL,30,2006,0.38,35,2,2,3,32,16,15,17,4.11,4,32,15,1,2,4,0
Rodney,Fernando,rodnefe01,AL,29,2006,0.38,47,2,3,5,47,22,21,22,4.12,5,38,17,2,2,2,0
Pavano,Carl,pavanca01,AL,30,2006,0.78,132,8,7,0,142,66,59,62,4.12,14,79,30,4,7,2,1
Alvarez,Wilson,alvarwi01,NL,36,2006,0.6,59,3,4,0,59,28,27,27,4.12,7,45,18,1,2,1,0
Romero,J.C.,romerjc01,AL,30,2006,0.59,61,4,3,0,57,30,27,29,4.13,6,48,30,4,4,3,1
Kline,Steve,klinest02,AL,34,2006,0.57,61,3,4,1,59,30,26,30,4.13,8,37,24,3,2,3,1
Carter,Lance,cartela02,AL,32,2006,0.61,62,3,3,3,62,30,29,28,4.14,8,33,18,2,2,1,0
Bush,David,bushda01,AL,27,2006,0.69,137,6,9,0,138,69,63,63,4.14,17,84,34,3,9,3,0
Arroyo,Bronson,arroybr01,AL,29,2006,0.79,176,11,9,0,176,95,83,79,4.14,18,108,48,3,13,5,1
Olsen,Scott,olsensc01,NL,22,2006,0.19,63,4,3,0,62,32,28,30,4.14,8,52,24,2,2,2,0
Shuey,Paul,shueypa01,NL,36,2006,0.21,25,2,1,0,24,12,11,12,4.14,3,19,10,1,1,1,0
Spooneybarger,Tim,spoonti01,NL,27,2006,0.14,25,1,1,0,24,12,12,11,4.14,2,19,9,1,1,1,0
Crudale,Mike,crudami01,NL,29,2006,0.07,25,1,1,0,24,12,11,12,4.14,3,18,10,1,1,1,0
Meyer,Dan,meyerda02,NL,25,2006,0.01,25,1,1,0,25,12,11,12,4.14,3,19,9,1,1,1,0
Ankiel,Rick,ankieri01,NL,27,2006,0.07,26,2,1,0,26,13,12,12,4.15,3,19,9,1,1,1,0
Bullington,Bryan,bullibr01,NL,26,2006,0.01,26,1,1,0,25,13,12,12,4.15,3,19,9,1,1,1,0
Ramirez,Erasmo,ramirer01,AL,30,2006,0.42,40,2,2,0,40,20,19,18,4.16,5,24,11,1,2,1,0
Young,Chris,youngch03,AL,27,2006,0.68,146,10,7,0,144,75,69,66,4.16,18,114,42,2,6,4,0
Chulk,Vinnie,chulkvi01,AL,28,2006,0.56,67,2,3,1,66,33,31,31,4.16,8,43,24,2,2,3,0
Small,Aaron,smallaa01,AL,35,2006,0.49,81,7,2,0,83,39,37,38,4.17,8,46,27,1,4,2,0
Garcia,Jairo,garcija01,AL,23,2006,0.07,27,1,1,0,26,14,13,12,4.17,3,19,10,1,1,1,0
Suppan,Jeff,suppaje01,NL,31,2006,0.81,176,13,9,0,184,87,77,86,4.17,21,105,57,2,7,5,1
Capps,Matt,cappsma01,NL,23,2006,0.04,27,1,1,0,27,13,12,13,4.17,3,20,9,1,1,1,0
Helling,Rick,helliri01,NL,36,2006,0.53,69,4,3,0,69,32,31,33,4.17,8,51,25,2,4,2,0
Lincoln,Mike,lincomi01,NL,31,2006,0.21,27,2,2,1,26,14,13,12,4.17,3,20,10,1,1,1,0
Parrish,John,parrijo01,AL,29,2006,0.46,42,3,2,0,41,20,18,21,4.18,4,34,21,2,1,4,0
Shouse,Brian,shousbr01,AL,38,2006,0.54,56,3,2,0,57,29,26,26,4.18,6,37,19,3,3,1,0
Woodyard,Mark,woodyma01,AL,28,2006,0.06,28,1,1,0,28,14,13,13,4.18,3,19,9,1,1,1,0
Moreno,Orber,morenor01,NL,29,2006,0.22,28,2,1,0,28,14,13,13,4.18,3,21,10,1,1,1,0
Reitsma,Chris,reitsch01,NL,29,2006,0.63,70,4,4,7,75,33,32,33,4.18,7,47,19,3,2,2,0
Worrell,Tim,worreti01,NL,39,2006,0.59,57,3,3,9,61,30,25,28,4.18,7,43,18,3,2,1,0
Van Buren,Jermaine,vanbuje01,NL,26,2006,0.06,28,1,2,0,27,14,13,13,4.18,3,20,12,1,1,1,0
Fortunato,Bartolome,fortuba01,NL,32,2006,0.16,28,1,1,0,28,14,13,13,4.18,3,21,11,1,1,1,0
Cormier,Rheal,cormirh01,NL,39,2006,0.59,57,4,3,0,56,28,26,27,4.18,7,38,20,2,3,2,0
Meadows,Brian,meadobr01,NL,31,2006,0.63,71,3,3,0,75,38,33,33,4.18,7,44,20,4,1,3,0
Kuo,Hong-Chih,kuoho01,NL,25,2006,0.06,28,1,2,0,27,14,13,13,4.18,3,23,11,1,1,1,0
Bedard,Erik,bedarer01,AL,27,2006,0.72,144,7,9,0,145,73,66,68,4.19,13,119,57,2,6,5,1
Delcarmen,Manny,delcama01,AL,24,2006,0.09,29,2,1,0,29,14,13,14,4.19,3,22,11,1,1,1,0
Villone,Ron,villoro01,NL,36,2006,0.67,72,5,4,0,67,37,33,34,4.19,7,60,35,2,5,3,0
Vazquez,Javier,vazquja01,NL,30,2006,0.83,188,11,11,0,185,94,88,87,4.19,27,160,50,4,6,8,1
Liriano,Francisco,liriafr01,AL,23,2006,0.21,60,3,4,0,57,32,30,26,4.2,7,52,19,1,2,2,0
MacDougal,Mike,macdomi01,AL,29,2006,0.53,61,4,4,13,63,31,27,30,4.2,6,52,23,1,3,4,0
Lee,Cliff,leecl02,AL,28,2006,0.79,179,14,7,0,176,91,85,82,4.2,22,135,57,2,5,5,0
Ring,Royce,ringro01,NL,26,2006,0.11,30,2,2,0,30,15,14,14,4.2,3,23,13,1,1,1,0
Eischen,Joey,eischjo01,NL,36,2006,0.43,45,2,2,0,46,22,20,22,4.2,4,34,18,3,3,3,0
