nameLast,nameFirst,playerID,lgID,Age,year,reliability,mIP,mW,mL,mSV,mH,mR,mER,bsrER,ERA,mHR,mSO,mBB,mIBB,mHBP,mWP,mBK
Wagner,Billy,wagnebi02,NL,35,2006,0.61,69,4,3,25,53,24,21,23,2.87,7,67,20,2,3,2,0
Rivera,Mariano,riverma01,AL,37,2006,0.63,72,5,3,32,62,24,21,25,2.88,5,59,19,1,4,1,0
Santana,Johan,santajo01,AL,27,2006,0.83,194,14,6,0,152,68,64,62,2.92,19,196,45,1,4,7,0
Rodriguez,Francisco,rodrifr03,AL,24,2006,0.63,67,4,3,19,50,24,22,23,3.02,6,75,25,2,1,5,0
Street,Huston,streehu01,AL,23,2006,0.47,64,4,2,12,53,24,21,22,3.02,5,53,21,2,2,2,0
Gagne,Eric,gagneer01,NL,30,2006,0.52,40,2,2,16,32,15,14,13,3.04,3,45,12,1,2,2,0
Nathan,Joe,nathajo01,AL,32,2006,0.62,67,5,3,26,54,25,23,23,3.09,6,68,22,2,2,3,0
Clemens,Roger,clemero02,NL,44,2006,0.83,187,12,7,0,160,67,62,67,3.1,14,160,63,4,5,4,1
Cordero,Chad,cordech01,NL,24,2006,0.6,70,4,3,23,59,27,23,26,3.15,7,60,24,2,2,2,0
Lidge,Brad,lidgebr01,NL,30,2006,0.65,70,4,4,21,57,25,23,26,3.15,6,84,25,3,3,4,0
Linebrink,Scott,linebsc01,NL,30,2006,0.64,71,5,2,0,62,25,23,27,3.17,6,60,24,3,2,3,0
Peavy,Jake,peavyja01,NL,25,2006,0.81,178,12,7,0,151,66,61,65,3.19,17,173,53,3,7,3,1
Zambrano,Carlos,zambrca01,NL,25,2006,0.83,193,13,7,0,158,75,68,70,3.22,15,168,72,4,10,6,1
Duke,Zach,dukeza01,NL,23,2006,0.49,102,8,4,0,96,37,33,40,3.22,7,75,32,3,3,2,0
Martinez,Pedro,martipe02,NL,35,2006,0.83,190,13,8,0,159,72,69,67,3.22,18,182,51,2,8,4,0
Rincon,Juan,rincoju01,AL,27,2006,0.64,72,6,5,0,60,29,26,26,3.25,5,68,26,2,3,3,0
Ryan,B.J.,ryanbj01,AL,31,2006,0.62,69,3,4,14,60,26,24,26,3.26,5,76,25,3,2,3,0
Hernandez,Felix,hernafe02,AL,20,2006,0.49,102,6,5,0,85,41,38,36,3.26,9,86,30,1,3,4,0
Reyes,Al,reyesal01,NL,35,2006,0.46,58,3,3,1,48,23,21,21,3.26,5,49,20,2,3,1,0
Gordon,Tom,gordoto01,AL,39,2006,0.65,74,5,4,3,62,29,27,27,3.28,7,63,25,3,2,2,0
Turnbow,Derrick,turnbde01,NL,28,2006,0.46,59,5,2,19,51,21,20,23,3.28,5,49,22,2,2,4,0
Carpenter,Chris,carpech01,NL,31,2006,0.8,199,16,6,0,180,78,72,74,3.3,19,165,48,2,5,5,0
Crain,Jesse,crainje01,AL,25,2006,0.52,68,7,4,0,58,28,25,25,3.31,6,35,23,3,3,2,0
Howry,Bobby,howrybo01,AL,33,2006,0.54,66,5,4,1,58,28,25,24,3.34,6,46,19,1,2,1,0
Pettitte,Andy,pettian01,NL,34,2006,0.8,179,13,8,0,167,71,64,69,3.34,16,142,46,2,3,4,0
Willis,Dontrelle,willido03,NL,24,2006,0.83,198,15,9,0,186,79,71,76,3.34,14,149,55,4,7,3,1
