"nameLast","nameFirst","playerID","lgID","Age","year","reliability","mIP","mW","mL","mSV","mH","mR","mER","bsrER","ERA","mHR","mSO","mBB","mIBB","mHBP","mWP","mBK"
"Croushore","Rich","crousri01","AL",31,2001,0.48,40.00,2.00,3.00,1.00,42.00,26.00,23.00,23.00,5.18,5.00,34.00,21.00,1.00,2.00,3.00,0.00
"Cressend","Jack","cressja01","AL",26,2001,0.13,32.00,2.00,2.00,0.00,35.00,19.00,17.00,17.00,4.78,4.00,22.00,13.00,1.00,1.00,1.00,0.00
"Creek","Doug","creekdo01","AL",32,2001,0.42,56.00,2.00,3.00,1.00,55.00,33.00,31.00,30.00,4.90,8.00,50.00,30.00,2.00,2.00,2.00,0.00
"Depaula","Sean","depause01","AL",28,2001,0.22,35.00,2.00,2.00,0.00,37.00,21.00,19.00,19.00,4.89,5.00,28.00,16.00,1.00,1.00,1.00,0.00
"Fassero","Jeff","fasseje01","AL",38,2001,0.78,130.00,7.00,9.00,0.00,156.00,86.00,80.00,83.00,5.64,21.00,93.00,56.00,2.00,3.00,5.00,0.00
"Assenmacher","Paul","assenpa01","AL",41,2001,0.30,28.00,2.00,2.00,0.00,34.00,19.00,17.00,18.00,5.62,4.00,21.00,13.00,2.00,1.00,1.00,0.00
"Fyhrie","Mike","fyhrimi01","AL",32,2001,0.49,60.00,2.00,3.00,0.00,66.00,30.00,28.00,32.00,4.50,7.00,42.00,23.00,2.00,1.00,1.00,0.00
"Fussell","Chris","fussech01","AL",25,2001,0.55,82.00,4.00,5.00,1.00,90.00,57.00,53.00,52.00,5.76,15.00,57.00,44.00,3.00,3.00,4.00,0.00
"Frascatore","John","frascjo01","AL",31,2001,0.63,69.00,4.00,4.00,0.00,76.00,42.00,37.00,40.00,5.02,11.00,37.00,28.00,3.00,3.00,3.00,0.00
"Foulke","Keith","foulkke01","AL",29,2001,0.67,80.00,3.00,3.00,14.00,67.00,34.00,31.00,30.00,3.43,9.00,75.00,24.00,2.00,2.00,2.00,0.00
"Ford","Ben","fordbe01","AL",26,2001,0.14,41.00,2.00,2.00,0.00,44.00,27.00,25.00,23.00,5.27,5.00,28.00,18.00,1.00,3.00,1.00,0.00
"Florie","Bryce","floribr01","AL",31,2001,0.62,62.00,3.00,3.00,0.00,69.00,38.00,33.00,35.00,4.94,7.00,45.00,27.00,4.00,2.00,3.00,0.00
"Eiland","Dave","eilanda01","AL",35,2001,0.55,83.00,4.00,6.00,0.00,102.00,60.00,55.00,52.00,5.80,11.00,47.00,32.00,1.00,4.00,2.00,0.00
"Finley","Chuck","finlech01","AL",39,2001,0.83,190.00,12.00,10.00,0.00,191.00,102.00,94.00,97.00,4.52,22.00,160.00,90.00,3.00,4.00,9.00,0.00
"Cormier","Rheal","cormirh01","AL",34,2001,0.55,65.00,3.00,3.00,0.00,70.00,38.00,34.00,33.00,4.64,7.00,42.00,22.00,2.00,2.00,2.00,0.00
