"nameLast","nameFirst","playerID","Age","year","reliability","mPA","mAB","mR","mH","m2B","m3B","mHR","mRBI","mSB","mCS","mBB","mSO","mIBB","mHBP","mSH","mSF","mGIDP"
"Abbott","Jeff","abbotje01",29,2001,0.65,327.00,294.00,42.00,78.00,17.00,1.00,9.00,43.00,4.00,2.00,26.00,48.00,2.00,2.00,2.00,3.00,5.00
"Abbott","Kurt","abbotku01",32,2001,0.69,317.00,289.00,42.00,74.00,16.00,2.00,9.00,36.00,3.00,2.00,23.00,72.00,1.00,2.00,1.00,2.00,5.00
"Abreu","Bobby","abreubo01",27,2001,0.87,606.00,508.00,93.00,163.00,34.00,8.00,20.00,79.00,20.00,7.00,91.00,107.00,9.00,2.00,1.00,4.00,10.00
"Agbayani","Benny","agbaybe01",30,2001,0.74,438.00,378.00,60.00,107.00,22.00,2.00,16.00,59.00,6.00,5.00,50.00,76.00,3.00,5.00,1.00,4.00,9.00
"Alcantara","Israel","alcanis01",30,2001,0.17,224.00,198.00,32.00,55.00,10.00,1.00,9.00,29.00,3.00,1.00,21.00,35.00,1.00,2.00,1.00,2.00,4.00
"Alexander","Manny","alexama02",30,2001,0.69,323.00,294.00,41.00,72.00,13.00,3.00,6.00,32.00,4.00,1.00,24.00,62.00,1.00,1.00,3.00,1.00,4.00
"Alfonzo","Edgardo","alfoned01",28,2001,0.87,598.00,512.00,98.00,156.00,33.00,2.00,22.00,85.00,6.00,2.00,75.00,71.00,2.00,4.00,1.00,6.00,11.00
"Alicea","Luis","alicelu01",36,2001,0.80,529.00,458.00,76.00,124.00,23.00,5.00,8.00,55.00,4.00,3.00,56.00,73.00,1.00,4.00,6.00,5.00,10.00
"Allen","Chad","allench01",26,2001,0.66,280.00,252.00,36.00,71.00,13.00,1.00,6.00,30.00,5.00,3.00,23.00,48.00,1.00,2.00,1.00,2.00,5.00
"Allen","Dusty","allendu01",29,2001,0.12,216.00,189.00,30.00,52.00,11.00,1.00,7.00,26.00,3.00,1.00,22.00,40.00,1.00,2.00,1.00,2.00,5.00
"Allensworth","Jermaine","allenje01",29,2001,0.57,209.00,182.00,29.00,49.00,9.00,1.00,5.00,22.00,5.00,2.00,19.00,38.00,1.00,4.00,3.00,1.00,2.00
"Alomar","Roberto","alomaro01",33,2001,0.87,618.00,531.00,100.00,159.00,34.00,2.00,18.00,82.00,25.00,4.00,67.00,79.00,3.00,5.00,8.00,7.00,14.00
"Alomar Jr.","Sandy","alomasa02",35,2001,0.76,406.00,373.00,48.00,100.00,21.00,2.00,9.00,48.00,2.00,2.00,22.00,51.00,1.00,3.00,4.00,4.00,10.00
"Alou","Moises","aloumo01",35,2001,0.79,458.00,398.00,70.00,127.00,23.00,2.00,24.00,87.00,5.00,2.00,50.00,54.00,5.00,3.00,1.00,6.00,14.00
"Alvarez","Clemente","alvarcl01",33,2001,0.02,202.00,178.00,27.00,48.00,9.00,1.00,6.00,25.00,3.00,1.00,19.00,33.00,1.00,2.00,1.00,2.00,4.00
"Alvarez","Gabe","alvarga01",27,2001,0.45,214.00,189.00,24.00,48.00,11.00,1.00,6.00,26.00,2.00,2.00,20.00,42.00,1.00,2.00,1.00,2.00,3.00
"Amaral","Rich","amarari01",39,2001,0.54,249.00,220.00,35.00,57.00,10.00,1.00,4.00,22.00,10.00,4.00,24.00,38.00,1.00,2.00,1.00,2.00,6.00
"Amaro","Ruben","amaroru02",36,2001,0.23,200.00,179.00,23.00,44.00,9.00,1.00,5.00,23.00,2.00,1.00,17.00,31.00,1.00,1.00,1.00,2.00,4.00
"Anderson","Brady","anderbr01",37,2001,0.86,578.00,480.00,84.00,123.00,25.00,2.00,19.00,57.00,18.00,6.00,78.00,91.00,4.00,12.00,3.00,5.00,6.00
"Anderson","Garret","anderga01",29,2001,0.87,606.00,567.00,77.00,165.00,35.00,3.00,23.00,86.00,6.00,4.00,31.00,78.00,6.00,1.00,1.00,6.00,15.00
"Anderson","Marlon","anderma02",27,2001,0.71,335.00,307.00,34.00,79.00,17.00,2.00,5.00,38.00,7.00,2.00,23.00,45.00,1.00,1.00,2.00,2.00,6.00
"Andrews","Shane","andresh01",30,2001,0.79,351.00,304.00,38.00,71.00,14.00,1.00,16.00,48.00,2.00,2.00,41.00,83.00,2.00,1.00,1.00,4.00,9.00
"Ardoin","Danny","ardoida01",27,2001,0.14,220.00,190.00,29.00,49.00,10.00,1.00,7.00,28.00,3.00,1.00,25.00,37.00,1.00,2.00,1.00,2.00,4.00
"Arias","Alex","ariasal01",34,2001,0.71,329.00,290.00,37.00,77.00,16.00,1.00,5.00,37.00,3.00,1.00,31.00,41.00,4.00,3.00,2.00,3.00,7.00
"Arias","George","ariasge01",29,2001,0.40,217.00,197.00,28.00,51.00,10.00,1.00,7.00,27.00,2.00,1.00,16.00,49.00,1.00,2.00,1.00,1.00,5.00
