"nameLast","nameFirst","playerID","Age","year","reliability","mPA","mAB","mR","mH","m2B","m3B","mHR","mRBI","mSB","mCS","mBB","mSO","mIBB","mHBP","mSH","mSF","mGIDP"
"Abad","Andy","abadan01",30,2002,0.00,200.00,178.00,25.00,47.00,10.00,1.00,6.00,24.00,3.00,2.00,17.00,34.00,2.00,2.00,1.00,2.00,4.00
"Abbott","Jeff","abbotje01",30,2002,0.54,247.00,220.00,29.00,57.00,13.00,1.00,5.00,28.00,3.00,2.00,20.00,42.00,1.00,3.00,2.00,2.00,5.00
"Abbott","Kurt","abbotku01",33,2002,0.58,222.00,204.00,27.00,51.00,11.00,1.00,6.00,24.00,3.00,2.00,15.00,51.00,1.00,1.00,1.00,1.00,3.00
"Abernathy","Brent","abernbr01",25,2002,0.58,368.00,330.00,48.00,91.00,19.00,1.00,8.00,41.00,8.00,3.00,31.00,47.00,2.00,2.00,3.00,2.00,5.00
"Abreu","Bobby","abreubo01",28,2002,0.87,620.00,529.00,97.00,158.00,38.00,7.00,23.00,83.00,26.00,9.00,84.00,114.00,9.00,2.00,0.00,5.00,11.00
"Agbayani","Benny","agbaybe01",31,2002,0.78,411.00,359.00,47.00,99.00,20.00,2.00,12.00,47.00,6.00,5.00,42.00,79.00,2.00,6.00,1.00,3.00,9.00
"Alcantara","Israel","alcanis01",31,2002,0.25,225.00,203.00,28.00,54.00,9.00,1.00,7.00,26.00,4.00,1.00,18.00,42.00,1.00,2.00,1.00,1.00,5.00
"Aldridge","Cory","aldrico01",23,2002,0.02,202.00,179.00,27.00,49.00,10.00,1.00,6.00,25.00,4.00,1.00,18.00,35.00,2.00,2.00,1.00,2.00,4.00
"Alexander","Manny","alexama02",31,2002,0.54,221.00,202.00,26.00,50.00,9.00,2.00,4.00,22.00,3.00,1.00,15.00,42.00,1.00,1.00,2.00,1.00,2.00
"Alfonzo","Edgardo","alfoned01",29,2002,0.86,524.00,457.00,76.00,128.00,28.00,1.00,18.00,65.00,5.00,1.00,57.00,66.00,1.00,4.00,1.00,5.00,9.00
"Alicea","Luis","alicelu01",37,2002,0.81,471.00,423.00,57.00,111.00,19.00,4.00,6.00,43.00,5.00,4.00,37.00,68.00,1.00,4.00,4.00,3.00,9.00
"Allen","Chad","allench01",27,2002,0.70,303.00,274.00,35.00,75.00,15.00,2.00,7.00,31.00,5.00,4.00,24.00,55.00,1.00,2.00,1.00,2.00,7.00
"Allen","Dusty","allendu01",30,2002,0.10,203.00,181.00,26.00,48.00,10.00,1.00,7.00,23.00,3.00,1.00,18.00,39.00,1.00,2.00,1.00,1.00,4.00
"Allensworth","Jermaine","allenje01",30,2002,0.18,200.00,177.00,26.00,46.00,9.00,1.00,6.00,23.00,4.00,2.00,17.00,38.00,1.00,2.00,2.00,2.00,4.00
"Almonte","Erick","almoner01",24,2002,0.02,202.00,179.00,26.00,50.00,11.00,1.00,6.00,25.00,5.00,1.00,18.00,33.00,2.00,2.00,1.00,2.00,4.00
"Alomar","Roberto","alomaro01",34,2002,0.87,608.00,524.00,97.00,160.00,32.00,5.00,18.00,84.00,28.00,5.00,63.00,79.00,4.00,5.00,9.00,7.00,12.00
"Alomar Jr.","Sandy","alomasa02",36,2002,0.72,358.00,331.00,37.00,87.00,16.00,2.00,8.00,39.00,3.00,3.00,18.00,45.00,2.00,3.00,3.00,3.00,8.00
"Alou","Moises","aloumo01",36,2002,0.81,542.00,482.00,74.00,152.00,28.00,2.00,25.00,96.00,5.00,2.00,49.00,61.00,9.00,3.00,1.00,7.00,17.00
"Alvarez","Clemente","alvarcl01",34,2002,0.02,200.00,178.00,25.00,47.00,9.00,1.00,6.00,23.00,3.00,2.00,17.00,34.00,1.00,2.00,1.00,2.00,4.00
"Alvarez","Gabe","alvarga01",28,2002,0.16,202.00,181.00,24.00,46.00,10.00,1.00,6.00,22.00,3.00,2.00,17.00,33.00,1.00,2.00,1.00,1.00,3.00
"Amaral","Rich","amarari01",40,2002,0.38,207.00,185.00,26.00,46.00,9.00,1.00,4.00,21.00,7.00,4.00,17.00,33.00,1.00,2.00,1.00,2.00,6.00
"Anderson","Brady","anderbr01",38,2002,0.85,512.00,434.00,64.00,103.00,19.00,2.00,13.00,48.00,15.00,6.00,60.00,86.00,5.00,11.00,3.00,4.00,5.00
"Anderson","Garret","anderga01",30,2002,0.87,620.00,585.00,77.00,167.00,34.00,2.00,25.00,94.00,8.00,5.00,27.00,88.00,5.00,1.00,1.00,6.00,14.00
"Anderson","Marlon","anderma02",28,2002,0.81,504.00,462.00,55.00,125.00,26.00,3.00,9.00,54.00,9.00,4.00,31.00,69.00,3.00,2.00,6.00,3.00,10.00
"Andrews","Shane","andresh01",31,2002,0.64,222.00,196.00,24.00,44.00,8.00,0.00,9.00,29.00,2.00,1.00,22.00,54.00,2.00,2.00,0.00,2.00,6.00
"Ardoin","Danny","ardoida01",28,2002,0.12,204.00,180.00,25.00,46.00,9.00,1.00,6.00,25.00,3.00,1.00,20.00,36.00,1.00,2.00,1.00,1.00,4.00
"Arias","Alex","ariasal01",35,2002,0.69,297.00,263.00,33.00,65.00,15.00,1.00,5.00,30.00,3.00,1.00,26.00,41.00,3.00,3.00,2.00,3.00,6.00
"Arias","George","ariasge01",30,2002,0.30,200.00,183.00,24.00,47.00,10.00,1.00,7.00,24.00,2.00,1.00,14.00,44.00,1.00,1.00,1.00,1.00,5.00
"Aurilia","Rich","aurilri01",31,2002,0.86,602.00,549.00,79.00,158.00,28.00,3.00,25.00,79.00,2.00,3.00,44.00,84.00,3.00,2.00,3.00,4.00,14.00
"Ausmus","Brad","ausmubr01",33,2002,0.84,491.00,438.00,54.00,110.00,23.00,4.00,7.00,43.00,8.00,4.00,41.00,72.00,3.00,6.00,4.00,2.00,13.00
"Aven","Bruce","avenbr01",30,2002,0.64,231.00,208.00,28.00,56.00,12.00,1.00,7.00,32.00,3.00,1.00,17.00,45.00,1.00,4.00,0.00,2.00,4.00
"Baerga","Carlos","baergca01",34,2002,0.28,200.00,179.00,21.00,46.00,7.00,1.00,5.00,21.00,3.00,1.00,16.00,34.00,2.00,2.00,2.00,1.00,5.00
"Bagwell","Jeff","bagweje01",34,2002,0.88,630.00,527.00,111.00,150.00,33.00,2.00,34.00,104.00,13.00,5.00,89.00,115.00,9.00,9.00,0.00,5.00,16.00
"Baines","Harold","baineha01",43,2002,0.73,279.00,251.00,27.00,62.00,10.00,1.00,9.00,38.00,1.00,1.00,25.00,43.00,3.00,1.00,0.00,2.00,7.00
"Bako","Paul","bakopa01",30,2002,0.68,304.00,269.00,29.00,64.00,16.00,1.00,5.00,28.00,2.00,1.00,30.00,67.00,6.00,1.00,2.00,2.00,6.00
"Banks","Brian","banksbr01",32,2002,0.38,200.00,178.00,25.00,45.00,8.00,1.00,5.00,21.00,4.00,1.00,17.00,40.00,3.00,1.00,2.00,2.00,3.00
"Barajas","Rod","barajro01",27,2002,0.35,256.00,234.00,29.00,55.00,11.00,1.00,8.00,29.00,3.00,1.00,18.00,48.00,1.00,2.00,1.00,1.00,3.00
"Barkett","Andy","barkean01",28,2002,0.18,226.00,202.00,28.00,56.00,11.00,1.00,6.00,25.00,4.00,1.00,19.00,37.00,2.00,3.00,1.00,1.00,5.00
"Barker","Glen","barkegl01",31,2002,0.38,223.00,194.00,40.00,48.00,8.00,1.00,5.00,23.00,15.00,10.00,20.00,45.00,1.00,4.00,3.00,2.00,3.00
"Barker","Kevin","barkeke01",27,2002,0.42,212.00,186.00,25.00,49.00,9.00,1.00,5.00,25.00,3.00,1.00,21.00,36.00,1.00,2.00,1.00,2.00,3.00
"Barnes","John","barnejo01",26,2002,0.19,216.00,193.00,26.00,51.00,11.00,1.00,5.00,23.00,3.00,2.00,17.00,35.00,1.00,4.00,1.00,1.00,5.00
"Barnes","Larry","barnela01",28,2002,0.15,220.00,199.00,25.00,48.00,9.00,1.00,6.00,24.00,3.00,1.00,17.00,38.00,1.00,2.00,1.00,1.00,4.00
"Barrett","Michael","barremi01",26,2002,0.81,483.00,445.00,48.00,115.00,30.00,2.00,7.00,44.00,2.00,2.00,31.00,56.00,4.00,3.00,2.00,2.00,13.00
"Barry","Jeff","barryje01",33,2002,0.32,200.00,178.00,23.00,47.00,12.00,1.00,6.00,24.00,2.00,2.00,17.00,34.00,1.00,2.00,1.00,2.00,4.00
"Bartee","Kimera","barteki01",30,2002,0.24,210.00,185.00,25.00,44.00,8.00,2.00,5.00,21.00,4.00,2.00,18.00,40.00,2.00,3.00,2.00,2.00,4.00
"Batista","Tony","batisto01",29,2002,0.86,577.00,533.00,72.00,136.00,27.00,3.00,28.00,86.00,5.00,2.00,33.00,105.00,3.00,5.00,1.00,5.00,11.00
"Battle","Howard","battlho01",30,2002,0.05,200.00,179.00,25.00,48.00,9.00,1.00,6.00,25.00,3.00,1.00,17.00,34.00,1.00,2.00,1.00,1.00,4.00
"Baughman","Justin","baughju01",28,2002,0.07,202.00,181.00,26.00,48.00,10.00,1.00,6.00,23.00,5.00,1.00,17.00,33.00,1.00,2.00,1.00,1.00,4.00
"Bautista","Danny","bautida01",30,2002,0.74,358.00,329.00,45.00,93.00,17.00,4.00,9.00,44.00,5.00,2.00,21.00,52.00,3.00,3.00,3.00,2.00,9.00
"Becker","Rich","beckeri01",30,2002,0.67,236.00,199.00,31.00,49.00,9.00,1.00,6.00,24.00,3.00,2.00,32.00,54.00,1.00,2.00,1.00,2.00,3.00
"Bell","David","bellda01",30,2002,0.85,506.00,458.00,61.00,117.00,25.00,1.00,14.00,56.00,4.00,3.00,36.00,69.00,1.00,4.00,4.00,4.00,8.00
"Bell","Derek","bellde01",34,2002,0.81,354.00,315.00,40.00,74.00,15.00,1.00,9.00,37.00,6.00,3.00,33.00,76.00,2.00,3.00,1.00,2.00,9.00
"Belle","Albert","belleal01",36,2002,0.80,262.00,233.00,32.00,63.00,14.00,1.00,10.00,38.00,3.00,2.00,24.00,34.00,5.00,3.00,0.00,2.00,7.00
"Bellhorn","Mark","bellhma01",28,2002,0.28,242.00,216.00,31.00,50.00,9.00,2.00,6.00,24.00,3.00,1.00,21.00,59.00,1.00,2.00,2.00,1.00,4.00
"Bellinger","Clay","bellicl01",34,2002,0.54,265.00,238.00,37.00,53.00,10.00,2.00,9.00,29.00,5.00,2.00,19.00,57.00,1.00,4.00,2.00,2.00,4.00
"Belliard","Ron","belliro01",27,2002,0.84,472.00,414.00,62.00,112.00,27.00,4.00,9.00,44.00,5.00,3.00,47.00,67.00,2.00,3.00,4.00,4.00,9.00
"Bell","Jay","bellja01",37,2002,0.86,519.00,451.00,70.00,115.00,24.00,3.00,17.00,58.00,4.00,2.00,54.00,88.00,2.00,4.00,5.00,5.00,8.00
"Bell","Mike","bellmi02",28,2002,0.09,203.00,181.00,26.00,48.00,9.00,1.00,7.00,25.00,3.00,1.00,18.00,35.00,1.00,2.00,1.00,1.00,4.00
"Beltre","Adrian","beltrad01",23,2002,0.85,515.00,462.00,64.00,130.00,25.00,3.00,15.00,65.00,13.00,4.00,41.00,81.00,4.00,5.00,3.00,4.00,8.00
"Beltran","Carlos","beltrca01",25,2002,0.86,581.00,528.00,84.00,153.00,26.00,7.00,18.00,79.00,22.00,3.00,43.00,100.00,3.00,4.00,1.00,5.00,10.00
"Benard","Marvin","benarma01",32,2002,0.85,478.00,432.00,72.00,114.00,23.00,3.00,13.00,46.00,15.00,7.00,38.00,78.00,2.00,5.00,1.00,2.00,4.00
"Benjamin","Mike","benjami01",37,2002,0.65,226.00,206.00,24.00,52.00,14.00,2.00,3.00,21.00,4.00,2.00,13.00,46.00,1.00,2.00,4.00,1.00,3.00
"Bennett","Gary","bennega01",30,2002,0.53,283.00,251.00,30.00,64.00,13.00,1.00,6.00,30.00,2.00,1.00,24.00,46.00,3.00,3.00,2.00,3.00,5.00
"Berg","Dave","bergda01",32,2002,0.72,342.00,307.00,38.00,79.00,18.00,1.00,5.00,29.00,3.00,2.00,26.00,62.00,1.00,4.00,2.00,3.00,6.00
"Berger","Brandon","bergebr01",27,2002,0.07,209.00,185.00,28.00,51.00,10.00,2.00,8.00,25.00,3.00,1.00,19.00,34.00,2.00,2.00,1.00,2.00,4.00
"Bergeron","Peter","bergepe01",25,2002,0.79,467.00,415.00,62.00,100.00,18.00,4.00,6.00,28.00,10.00,8.00,39.00,85.00,2.00,3.00,9.00,1.00,5.00
"Berkman","Lance","berkmla01",26,2002,0.82,586.00,500.00,92.00,155.00,41.00,3.00,27.00,96.00,9.00,6.00,71.00,103.00,4.00,8.00,1.00,6.00,8.00
"Berroa","Angel","berroan01",24,2002,0.19,228.00,205.00,30.00,58.00,11.00,1.00,6.00,26.00,5.00,1.00,19.00,38.00,1.00,2.00,1.00,1.00,5.00
"Berroa","Geronimo","berroge01",37,2002,0.23,204.00,181.00,24.00,45.00,9.00,1.00,5.00,23.00,3.00,1.00,18.00,38.00,2.00,3.00,1.00,1.00,6.00
"Berry","Sean","berryse01",36,2002,0.47,205.00,186.00,20.00,43.00,9.00,1.00,4.00,19.00,2.00,1.00,15.00,39.00,1.00,2.00,1.00,1.00,4.00
"Betemit","Wilson","betemwi01",22,2002,0.02,202.00,177.00,27.00,49.00,10.00,1.00,6.00,25.00,4.00,1.00,20.00,34.00,2.00,2.00,1.00,2.00,4.00
"Bichette","Dante","bicheda01",39,2002,0.85,471.00,432.00,57.00,119.00,27.00,1.00,17.00,65.00,4.00,3.00,31.00,77.00,2.00,3.00,1.00,4.00,13.00
"Bigbie","Larry","bigbila01",25,2002,0.38,274.00,242.00,33.00,63.00,13.00,1.00,7.00,29.00,6.00,2.00,27.00,57.00,2.00,2.00,2.00,1.00,5.00
"Biggio","Craig","biggicr01",37,2002,0.87,605.00,520.00,89.00,142.00,30.00,3.00,14.00,55.00,12.00,6.00,59.00,94.00,5.00,18.00,3.00,5.00,9.00
"Blake","Casey","blakeca01",29,2002,0.26,223.00,199.00,26.00,52.00,11.00,1.00,6.00,24.00,5.00,1.00,19.00,43.00,2.00,2.00,1.00,2.00,4.00
"Blanco","Henry","blanche01",31,2002,0.77,411.00,364.00,40.00,83.00,22.00,2.00,9.00,39.00,3.00,2.00,39.00,75.00,6.00,2.00,3.00,3.00,10.00
"Blauser","Jeff","blausje01",37,2002,0.37,200.00,175.00,27.00,44.00,7.00,1.00,6.00,22.00,3.00,2.00,18.00,39.00,1.00,4.00,1.00,2.00,3.00
"Blowers","Mike","blowemi01",37,2002,0.11,200.00,179.00,23.00,46.00,9.00,1.00,6.00,24.00,3.00,1.00,17.00,36.00,1.00,2.00,1.00,1.00,4.00
"Blum","Geoff","blumge01",29,2002,0.79,495.00,441.00,56.00,112.00,25.00,2.00,13.00,53.00,6.00,4.00,39.00,87.00,6.00,7.00,4.00,4.00,9.00
"Bocachica","Hiram","bocachi01",26,2002,0.39,272.00,247.00,33.00,64.00,16.00,2.00,7.00,27.00,6.00,2.00,21.00,51.00,1.00,2.00,1.00,1.00,4.00
"Bogar","Tim","bogarti01",36,2002,0.68,244.00,215.00,27.00,50.00,10.00,1.00,5.00,23.00,2.00,2.00,22.00,40.00,4.00,3.00,2.00,2.00,7.00
"Boggs","Wade","boggswa01",44,2002,0.46,200.00,178.00,23.00,47.00,9.00,1.00,4.00,20.00,2.00,1.00,18.00,26.00,1.00,1.00,1.00,2.00,6.00
"Bonds","Barry","bondsba01",38,2002,0.85,593.00,473.00,108.00,134.00,27.00,3.00,49.00,103.00,12.00,3.00,110.00,88.00,23.00,6.00,0.00,4.00,7.00
