"nameLast","nameFirst","playerID","lgID","Age","year","reliability","mIP","mW","mL","mSV","mH","mR","mER","bsrER","ERA","mHR","mSO","mBB","mIBB","mHBP","mWP","mBK"
"Lester","Jon","lestejo01","AL",23,2007,0.48,101.00,7.00,4.00,0.00,106.00,52.00,50.00,52.00,4.54,10.00,76.00,43.00,2.00,5.00,5.00,0.00
"Narron","Sam","narrosa02","AL",26,2007,0.01,60.00,3.00,3.00,0.00,63.00,33.00,30.00,31.00,4.58,8.00,43.00,22.00,2.00,2.00,2.00,0.00
"File","Bob","filebo01","AL",30,2007,0.11,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Kershner","Jason","kershja01","AL",31,2007,0.08,28.00,1.00,2.00,0.00,31.00,16.00,15.00,15.00,4.82,4.00,20.00,10.00,1.00,1.00,1.00,0.00
"Bacsik","Mike","bacsimi02","AL",30,2007,0.06,60.00,3.00,3.00,0.00,64.00,33.00,31.00,31.00,4.65,8.00,42.00,20.00,1.00,3.00,2.00,0.00
"Garcia","Rosman","garciro01","AL",28,2007,0.02,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,18.00,9.00,1.00,1.00,1.00,0.00
"Bierbrodt","Nick","bierbni01","AL",29,2007,0.06,60.00,3.00,3.00,0.00,63.00,33.00,31.00,32.00,4.72,8.00,42.00,24.00,1.00,3.00,2.00,0.00
"Callaway","Mickey","callami01","AL",32,2007,0.04,51.00,3.00,3.00,0.00,56.00,29.00,27.00,28.00,4.85,7.00,37.00,19.00,1.00,2.00,2.00,0.00
"Snare","Ryan","snarery01","AL",28,2007,0.01,25.00,1.00,1.00,0.00,26.00,14.00,13.00,13.00,4.68,3.00,18.00,9.00,1.00,1.00,1.00,0.00
"Nakamura","Mike","nakammi01","AL",31,2007,0.09,25.00,1.00,2.00,0.00,27.00,15.00,13.00,13.00,4.68,3.00,18.00,9.00,1.00,1.00,1.00,0.00
"Peterson","Adam","peterad02","AL",28,2007,0.01,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,18.00,9.00,1.00,1.00,1.00,0.00
"Maurer","Dave","maureda01","AL",32,2007,0.00,25.00,1.00,1.00,0.00,27.00,15.00,13.00,13.00,4.68,3.00,18.00,9.00,1.00,1.00,1.00,0.00
"Hentgen","Pat","hentgpa01","AL",39,2007,0.23,56.00,3.00,4.00,0.00,62.00,35.00,33.00,31.00,5.14,8.00,35.00,22.00,2.00,2.00,2.00,0.00
"Anderson","Jimmy","anderji02","AL",31,2007,0.06,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Martinez","Anastacio","martian01","AL",29,2007,0.04,25.00,2.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,18.00,9.00,1.00,1.00,1.00,0.00
"Robertson","Jeriome","roberje02","AL",30,2007,0.05,25.00,1.00,1.00,0.00,27.00,15.00,14.00,13.00,4.86,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Malaska","Mark","malasma01","AL",29,2007,0.07,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,18.00,9.00,1.00,1.00,1.00,0.00
"Seibel","Phil","seibeph01","AL",28,2007,0.01,25.00,1.00,1.00,0.00,26.00,13.00,12.00,13.00,4.50,3.00,18.00,9.00,1.00,1.00,1.00,0.00
"Brown","Jamie","brownja04","AL",30,2007,0.03,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,18.00,9.00,1.00,1.00,1.00,0.00
"Leskanic","Curt","leskacu01","AL",39,2007,0.14,25.00,1.00,2.00,1.00,27.00,14.00,13.00,13.00,4.68,3.00,18.00,10.00,1.00,1.00,1.00,0.00
"Jones","Bobby","jonesbo04","AL",35,2007,0.01,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,18.00,10.00,1.00,1.00,1.00,0.00
"Cressend","Jack","cressja01","AL",32,2007,0.06,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Jackson","Mike","jacksmi02","AL",43,2007,0.15,25.00,1.00,1.00,0.00,28.00,14.00,13.00,14.00,4.86,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Dawley","Joey","dawlejo01","AL",36,2007,0.03,60.00,3.00,3.00,0.00,65.00,34.00,31.00,32.00,4.72,8.00,42.00,23.00,2.00,2.00,2.00,0.00
"D'Amico","Jeff","damicje01","AL",32,2007,0.10,60.00,3.00,3.00,0.00,67.00,36.00,33.00,32.00,4.88,8.00,41.00,20.00,1.00,2.00,2.00,0.00
"Jimenez","Jose","jimenjo01","AL",34,2007,0.12,25.00,1.00,2.00,1.00,28.00,15.00,14.00,14.00,5.04,3.00,17.00,9.00,1.00,1.00,1.00,0.00
"Pote","Lou","potelo01","AL",36,2007,0.01,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,18.00,9.00,1.00,1.00,1.00,0.00
"Denney","Kyle","denneky01","AL",30,2007,0.06,60.00,3.00,4.00,0.00,67.00,35.00,32.00,33.00,4.88,8.00,43.00,22.00,1.00,2.00,2.00,0.00
"Robbins","Jake","robbija01","AL",31,2007,0.01,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,18.00,9.00,1.00,1.00,1.00,0.00
"Stewart","Josh","stewajo02","AL",29,2007,0.03,48.00,3.00,3.00,0.00,53.00,28.00,26.00,26.00,4.88,6.00,34.00,17.00,1.00,2.00,2.00,0.00
"Diaz","Felix","diazfe01","AL",27,2007,0.16,39.00,2.00,2.00,0.00,42.00,22.00,21.00,21.00,4.85,6.00,28.00,13.00,1.00,2.00,1.00,0.00
"Wright","Dan","wrighda02","AL",30,2007,0.06,60.00,3.00,4.00,0.00,65.00,35.00,32.00,32.00,4.80,8.00,41.00,22.00,2.00,3.00,2.00,0.00
"Stanford","Jason","stanfja01","AL",30,2007,0.04,60.00,3.00,3.00,0.00,64.00,32.00,30.00,31.00,4.58,7.00,42.00,22.00,2.00,2.00,2.00,0.00
"Munoz","Arnie","munozar01","AL",25,2007,0.05,28.00,2.00,2.00,0.00,30.00,16.00,15.00,15.00,4.82,4.00,21.00,10.00,1.00,1.00,1.00,0.00
"Birkins","Kurt","birkiku01","AL",27,2007,0.26,41.00,3.00,2.00,0.00,40.00,23.00,21.00,20.00,4.50,5.00,31.00,16.00,1.00,2.00,2.00,0.00
"Windsor","Jason","windsja01","AL",25,2007,0.13,58.00,3.00,3.00,0.00,64.00,34.00,30.00,31.00,4.73,7.00,40.00,20.00,1.00,2.00,2.00,0.00
"Accardo","Jeremy","accarje01","AL",26,2007,0.50,62.00,3.00,4.00,1.00,65.00,35.00,33.00,30.00,4.57,7.00,45.00,19.00,2.00,2.00,2.00,0.00
"Feierabend","Ryan","feierry01","AL",22,2007,0.16,51.00,3.00,3.00,0.00,50.00,26.00,24.00,25.00,4.32,7.00,37.00,18.00,1.00,2.00,2.00,1.00
"Miller","Andrew","millean01","AL",22,2007,0.10,30.00,2.00,2.00,0.00,30.00,17.00,15.00,14.00,4.35,3.00,22.00,12.00,1.00,2.00,1.00,0.00
"Moseley","Dustin","moseldu01","AL",26,2007,0.11,54.00,3.00,3.00,0.00,62.00,32.00,30.00,31.00,5.08,8.00,37.00,18.00,1.00,2.00,2.00,0.00
"Shields","James","shielja02","AL",26,2007,0.58,122.00,6.00,7.00,0.00,132.00,66.00,63.00,64.00,4.68,16.00,98.00,39.00,4.00,5.00,7.00,0.00
"Andrade","Steve","andrast01","AL",29,2007,0.05,27.00,1.00,1.00,0.00,29.00,16.00,15.00,14.00,4.83,3.00,20.00,10.00,1.00,1.00,1.00,0.00
"Sherrill","George","sherrge01","AL",30,2007,0.41,47.00,3.00,4.00,0.00,45.00,25.00,24.00,21.00,4.31,4.00,40.00,21.00,3.00,1.00,1.00,0.00
"Rupe","Josh","rupejo01","AL",25,2007,0.29,42.00,2.00,2.00,0.00,43.00,20.00,19.00,20.00,4.18,4.00,28.00,14.00,1.00,2.00,2.00,0.00
"Ray","Chris","raych01","AL",25,2007,0.51,62.00,3.00,4.00,15.00,54.00,27.00,24.00,26.00,3.63,8.00,50.00,24.00,2.00,2.00,2.00,0.00
"Masset","Nick","masseni01","AL",25,2007,0.09,29.00,2.00,1.00,0.00,30.00,15.00,14.00,14.00,4.34,3.00,21.00,10.00,1.00,2.00,1.00,0.00
"Janssen","Casey","janssca01","AL",26,2007,0.51,103.00,6.00,8.00,0.00,109.00,59.00,54.00,51.00,4.59,13.00,62.00,29.00,3.00,6.00,4.00,1.00
"Lowe","Mark","lowema01","AL",24,2007,0.17,34.00,2.00,2.00,0.00,33.00,16.00,15.00,16.00,4.10,4.00,27.00,13.00,1.00,2.00,1.00,0.00
"Sikorski","Brian","sikorbr01","AL",33,2007,0.28,42.00,3.00,2.00,0.00,45.00,23.00,22.00,23.00,4.82,7.00,34.00,13.00,1.00,2.00,2.00,0.00
"Perkins","Glen","perkigl01","AL",24,2007,0.06,28.00,2.00,1.00,0.00,28.00,14.00,13.00,13.00,4.18,3.00,21.00,9.00,1.00,1.00,1.00,0.00
"Baek","Cha Seung","baekch01","AL",27,2007,0.33,74.00,6.00,4.00,0.00,73.00,39.00,36.00,36.00,4.38,10.00,53.00,26.00,1.00,3.00,3.00,0.00
"Howell","J.P.","howeljp01","AL",24,2007,0.51,88.00,4.00,5.00,0.00,94.00,53.00,50.00,47.00,4.96,10.00,68.00,35.00,1.00,5.00,4.00,0.00
"Harris","Jeff","harrije02","AL",33,2007,0.31,50.00,3.00,3.00,0.00,52.00,28.00,26.00,26.00,4.68,7.00,32.00,18.00,2.00,2.00,1.00,0.00
"Tata","Jordan","tatajo01","AL",26,2007,0.14,32.00,2.00,1.00,0.00,33.00,18.00,17.00,16.00,4.64,4.00,22.00,12.00,1.00,1.00,1.00,0.00
"Kazmir","Scott","kazmisc01","AL",23,2007,0.76,151.00,10.00,8.00,0.00,140.00,70.00,62.00,66.00,3.81,14.00,153.00,63.00,3.00,5.00,6.00,0.00
"Penn","Hayden","pennha01","AL",23,2007,0.34,74.00,4.00,5.00,0.00,87.00,55.00,52.00,46.00,5.96,12.00,48.00,31.00,2.00,3.00,3.00,1.00
"Hansack","Devern","hansade01","AL",29,2007,0.10,65.00,4.00,4.00,0.00,66.00,34.00,32.00,32.00,4.43,9.00,47.00,21.00,2.00,2.00,2.00,0.00
"Logan","Boone","loganbo02","AL",23,2007,0.16,34.00,2.00,1.00,1.00,35.00,20.00,19.00,17.00,4.76,4.00,26.00,14.00,1.00,2.00,1.00,0.00
"Braun","Ryan","braunry01","AL",27,2007,0.11,30.00,2.00,2.00,0.00,32.00,17.00,16.00,15.00,4.65,4.00,21.00,10.00,1.00,1.00,1.00,0.00
"Taubenheim","Ty","taubety01","AL",25,2007,0.28,63.00,3.00,5.00,0.00,67.00,35.00,32.00,34.00,4.71,8.00,47.00,25.00,1.00,4.00,2.00,0.00
"O'Flaherty","Eric","oflaher01","AL",22,2007,0.11,31.00,2.00,1.00,0.00,33.00,17.00,15.00,16.00,4.50,4.00,22.00,11.00,2.00,1.00,2.00,0.00
"Feldman","Scott","feldmsc01","AL",24,2007,0.35,47.00,2.00,3.00,0.00,47.00,23.00,21.00,21.00,4.02,5.00,34.00,14.00,1.00,2.00,1.00,0.00
"Karstens","Jeff","karstje01","AL",25,2007,0.32,73.00,4.00,3.00,0.00,72.00,37.00,34.00,34.00,4.19,9.00,45.00,23.00,2.00,2.00,3.00,1.00
"Mussina","Mike","mussimi01","AL",39,2007,0.81,177.00,12.00,8.00,0.00,188.00,91.00,83.00,84.00,4.25,22.00,141.00,44.00,1.00,5.00,3.00,0.00
"Papelbon","Jonathan","papeljo01","AL",27,2007,0.51,64.00,4.00,3.00,17.00,55.00,22.00,21.00,24.00,3.16,6.00,58.00,20.00,2.00,2.00,2.00,0.00
"Orvella","Chad","orvelch01","AL",27,2007,0.39,42.00,2.00,3.00,0.00,46.00,26.00,22.00,24.00,4.93,6.00,32.00,19.00,1.00,2.00,1.00,0.00
"Hoey","James","hoeyja02","AL",25,2007,0.10,30.00,2.00,2.00,0.00,32.00,18.00,17.00,16.00,4.95,4.00,22.00,11.00,1.00,2.00,1.00,0.00
"Beam","T.J.","beamtj01","AL",27,2007,0.17,34.00,2.00,2.00,0.00,38.00,21.00,20.00,19.00,5.16,5.00,24.00,12.00,1.00,2.00,1.00,0.00
"Baker","Scott","bakersc02","AL",26,2007,0.57,106.00,6.00,7.00,0.00,121.00,63.00,59.00,57.00,4.92,16.00,77.00,29.00,2.00,3.00,2.00,0.00
"Alvarez","Abe","alvarab01","AL",25,2007,0.07,31.00,2.00,2.00,0.00,34.00,18.00,17.00,17.00,4.94,5.00,22.00,11.00,1.00,1.00,1.00,0.00
"Littleton","Wes","littlwe01","AL",25,2007,0.29,43.00,3.00,2.00,1.00,40.00,19.00,18.00,18.00,3.77,4.00,29.00,15.00,1.00,2.00,1.00,0.00
"Marcum","Shaun","marcush01","AL",26,2007,0.48,85.00,4.00,4.00,0.00,90.00,45.00,43.00,46.00,4.71,12.00,66.00,35.00,3.00,4.00,2.00,0.00
"Mastny","Tom","mastnto01","AL",26,2007,0.16,33.00,2.00,2.00,3.00,35.00,18.00,17.00,17.00,4.64,4.00,25.00,12.00,1.00,1.00,1.00,0.00
"Street","Huston","streehu01","AL",24,2007,0.58,68.00,4.00,3.00,22.00,61.00,28.00,25.00,25.00,3.31,5.00,60.00,19.00,3.00,2.00,2.00,0.00
"Bergman","Dusty","bergmdu01","AL",29,2007,0.01,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,18.00,9.00,1.00,1.00,1.00,0.00
"Cubillan","Darwin","cubilda01","AL",35,2007,0.04,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,18.00,9.00,1.00,1.00,1.00,0.00
"Lilly","Ted","lillyte01","AL",31,2007,0.79,163.00,12.00,11.00,0.00,166.00,90.00,84.00,87.00,4.72,25.00,134.00,71.00,4.00,4.00,5.00,3.00
"Keisler","Randy","keislra01","AL",31,2007,0.35,39.00,2.00,2.00,0.00,44.00,25.00,22.00,22.00,5.08,6.00,28.00,15.00,1.00,1.00,1.00,0.00
"Karsay","Steve","karsast01","AL",35,2007,0.23,32.00,2.00,2.00,0.00,38.00,20.00,18.00,19.00,5.20,5.00,22.00,11.00,1.00,1.00,1.00,0.00
"Ainsworth","Kurt","ainswku01","AL",29,2007,0.10,60.00,3.00,3.00,0.00,65.00,36.00,34.00,33.00,5.02,8.00,43.00,23.00,1.00,3.00,3.00,0.00
"Hensley","Matt","henslma01","AL",29,2007,0.09,25.00,1.00,1.00,0.00,27.00,14.00,13.00,13.00,4.68,3.00,19.00,9.00,1.00,1.00,1.00,0.00
