nameLast,nameFirst,playerID,lgID,Age,year,reliability,mIP,mW,mL,mSV,mH,mR,mER,bsrER,ERA,mHR,mSO,mBB,mIBB,mHBP,mWP,mBK
Papelbon,Jonathan,papeljo01,AL,28,2008,0.56,61,3,3,23,48,21,19,20,2.88,5,65,19,1,3,1,0
Nathan,Joe,nathajo01,AL,34,2008,0.61,68,5,2,27,56,24,22,23,2.98,5,70,21,2,2,3,0
Saito,Takashi,saitota01,NL,38,2008,0.57,65,3,2,22,51,23,21,22,2.98,6,66,20,2,3,1,0
Putz,J.J.,putzjj01,AL,31,2008,0.62,69,5,2,23,56,24,23,23,3,6,69,19,1,2,2,0
Betancourt,Rafael,betanra01,AL,33,2008,0.61,70,4,3,2,61,27,25,24,3.15,6,62,17,3,1,1,0
Peavy,Jake,peavyja01,NL,27,2008,0.83,192,13,8,0,162,74,70,68,3.23,16,197,59,6,6,4,0
Santana,Johan,santajo01,AL,29,2008,0.84,193,14,9,0,164,77,71,71,3.31,23,198,48,1,4,6,1
Rodriguez,Francisco,rodrifr03,AL,26,2008,0.61,66,4,3,32,55,25,23,26,3.34,5,76,28,2,2,6,0
Perez,Rafael,perezra01,AL,26,2008,0.44,57,2,2,1,49,24,21,22,3.39,6,50,18,2,1,4,0
Street,Huston,streehu01,AL,25,2008,0.58,57,4,3,17,49,24,22,21,3.39,5,55,17,2,1,2,0
Webb,Brandon,webbbr01,NL,29,2008,0.84,202,14,9,0,189,84,75,77,3.39,14,158,57,5,5,5,1
Chamberlain,Joba,chambjo03,AL,23,2008,0.21,37,2,2,1,33,16,14,14,3.41,3,34,12,1,1,1,0
Moylan,Peter,moylape01,NL,30,2008,0.53,71,4,3,0,64,30,25,29,3.42,6,52,25,6,4,2,0
Soria,Joakim,soriajo01,AL,24,2008,0.44,59,3,3,9,51,25,23,22,3.43,5,54,19,2,2,2,0
Rivera,Mariano,riverma01,AL,39,2008,0.62,68,4,4,23,65,27,25,27,3.44,5,58,17,2,4,1,0
Neshek,Pat,neshepa01,AL,28,2008,0.52,64,5,3,0,53,27,25,24,3.45,7,62,22,3,2,2,0
Capps,Matt,cappsma01,NL,25,2008,0.6,73,5,4,8,67,30,28,28,3.45,7,56,18,5,3,2,0
Liriano,Francisco,liriafr01,AL,25,2008,0.5,57,4,2,0,50,23,22,22,3.47,5,58,18,1,1,3,0
Broxton,Jonathan,broxtjo01,NL,24,2008,0.61,74,4,3,2,65,31,28,29,3.47,7,79,26,3,2,4,0
Wagner,Billy,wagnebi02,NL,37,2008,0.62,66,3,3,25,59,26,24,27,3.48,7,67,22,2,3,3,0
Soriano,Rafael,soriara01,NL,29,2008,0.56,67,3,3,4,56,28,26,26,3.49,9,61,21,2,2,2,0
Corpas,Manuel,corpama01,NL,26,2008,0.53,67,3,3,9,63,27,25,27,3.49,6,52,20,2,2,2,0
Young,Chris,youngch03,NL,29,2008,0.8,164,10,7,0,133,71,66,62,3.51,17,148,63,2,6,6,2
Sabathia,C.C.,sabatcc01,AL,28,2008,0.83,200,14,9,0,194,86,78,79,3.53,17,173,46,2,7,3,0
Bell,Heath,bellhe01,NL,31,2008,0.6,76,4,3,1,70,33,30,30,3.55,6,70,26,2,2,3,0
Okajima,Hideki,okajihi01,AL,33,2008,0.44,59,3,3,3,54,25,23,24,3.58,6,48,19,2,2,1,0
Halladay,Roy,hallaro01,AL,31,2008,0.83,195,14,6,0,193,84,78,77,3.58,15,127,43,4,5,4,0
Oswalt,Roy,oswalro01,NL,31,2008,0.83,187,13,8,0,193,74,69,80,3.59,15,138,48,4,6,2,1
Zumaya,Joel,zumayjo01,AL,24,2008,0.5,50,3,3,1,42,21,20,20,3.6,4,46,22,2,2,3,0
Hoffman,Trevor,hoffmtr01,NL,41,2008,0.57,60,3,4,31,57,26,24,24,3.6,5,45,18,3,1,1,0
Carpenter,Chris,carpech01,NL,33,2008,0.72,85,6,3,0,80,36,34,34,3.6,8,69,21,1,3,2,0
Harden,Rich,harderi01,AL,27,2008,0.53,71,5,3,0,60,31,29,28,3.61,7,64,29,1,2,2,0
Cain,Matt,cainma01,NL,24,2008,0.79,179,9,12,0,152,79,75,69,3.62,15,153,71,3,5,9,1
Heilman,Aaron,heilmaa01,NL,30,2008,0.67,77,5,5,1,70,35,31,31,3.62,7,61,24,2,4,2,0
Gardner,Lee,gardnle01,NL,33,2008,0.46,62,3,3,1,63,26,23,27,3.63,5,44,20,3,2,1,0
Otsuka,Akinori,otsukak01,AL,36,2008,0.51,47,2,3,9,46,21,19,19,3.64,3,36,16,2,1,1,0
Feliciano,Pedro,felicpe01,NL,32,2008,0.54,63,4,3,1,58,27,25,26,3.64,5,53,25,2,3,2,0
Bedard,Erik,bedarer01,AL,29,2008,0.8,171,11,8,0,156,75,70,69,3.66,16,171,60,1,5,4,0
Jenks,Bobby,jenksbo01,AL,27,2008,0.58,64,3,4,27,57,28,27,25,3.66,5,59,22,4,2,3,0
Lackey,John,lackejo01,AL,30,2008,0.83,194,14,8,0,190,84,75,83,3.66,15,163,59,3,9,11,0
Springer,Russ,sprinru01,NL,40,2008,0.59,64,4,2,0,56,28,26,26,3.66,7,52,21,2,3,2,0
Meredith,Cla,meredcl01,NL,25,2008,0.56,70,5,4,0,70,31,27,30,3.66,6,53,19,3,3,2,1
Speier,Justin,speieju01,AL,35,2008,0.54,55,3,2,0,50,24,22,23,3.68,6,47,19,2,3,2,0
Clemens,Roger,clemero02,AL,46,2008,0.73,120,7,7,0,115,54,48,50,3.68,10,90,39,2,5,4,0
Gonzalez,Mike,gonzami02,NL,30,2008,0.44,39,2,2,6,36,16,15,17,3.69,3,35,18,1,1,1,0
Zambrano,Carlos,zambrca01,NL,27,2008,0.83,190,14,9,0,160,85,79,77,3.69,19,166,86,4,9,5,0
