nameLast,nameFirst,playerID,Age,year,reliability,mPA,mAB,mR,mH,m2B,m3B,mHR,mRBI,mSB,mCS,mBB,mSO,mIBB,mHBP,mSH,mSF,mGIDP
Bonds,Barry,bondsba01,41,2005,0.86,564,392,105,128,25,2,39,88,7,1,160,55,69,8,1,3,6
Pujols,Albert,pujolal01,25,2005,0.87,614,529,116,179,43,2,37,110,4,3,71,59,10,8,0,6,15
Helton,Todd,heltoto01,32,2005,0.87,612,508,103,169,40,3,28,92,3,2,95,74,16,3,0,6,12
Ramirez,Manny,ramirma02,33,2005,0.86,599,510,96,160,35,1,34,104,3,2,76,101,16,7,1,5,16
Berkman,Lance,berkmla01,29,2005,0.87,609,500,94,149,33,3,28,94,7,4,97,98,12,7,1,4,9
Edmonds,Jim,edmonji01,35,2005,0.85,559,468,89,134,32,2,34,89,5,3,80,131,9,5,1,5,8
Guerrero,Vladimir,guerrvl01,29,2005,0.86,587,516,95,169,30,2,31,98,17,7,59,68,18,6,1,5,17
Abreu,Bobby,abreubo01,31,2005,0.88,626,519,95,155,38,2,22,87,25,7,97,108,9,4,0,6,9
Delgado,Carlos,delgaca01,33,2005,0.86,546,453,82,126,28,1,30,97,1,1,74,109,13,12,0,7,9
Rodriguez,Alex,rodrial01,30,2005,0.88,620,534,102,155,24,3,38,101,16,3,71,111,7,10,0,5,14
Sheffield,Gary,sheffga01,37,2005,0.87,610,520,99,154,29,1,30,101,10,4,74,69,5,9,1,6,15
Thome,Jim,thomeji01,35,2005,0.87,579,480,89,130,24,2,39,100,1,2,92,138,15,3,0,4,7
Drew,J.D.,drewjd01,30,2005,0.83,555,467,90,133,24,5,24,73,8,3,77,99,2,6,2,3,7
Dunn,Adam,dunnad01,26,2005,0.86,587,484,86,125,25,1,33,78,9,3,93,149,9,7,1,2,7
Giambi,Jason,giambja01,34,2005,0.84,430,351,60,91,17,0,22,64,2,1,66,81,3,10,0,3,8
Giles,Brian,gilesbr02,34,2005,0.87,616,511,87,146,31,5,24,86,8,3,92,73,11,6,1,6,11
Hafner,Travis,hafnetr01,28,2005,0.78,519,449,74,129,33,3,22,82,4,2,52,104,5,13,1,4,10
Ordonez,Magglio,ordonma01,31,2005,0.83,378,341,57,104,23,2,17,62,4,3,31,46,2,4,0,2,10
Ortiz,David,ortizda01,30,2005,0.85,585,513,81,148,40,2,32,108,1,1,62,108,6,3,1,6,10
Rolen,Scott,rolensc01,30,2005,0.86,562,482,87,139,32,3,27,97,7,3,64,89,4,10,1,5,13
Walker,Larry,walkela01,39,2005,0.82,414,349,63,101,22,4,16,61,5,2,56,68,6,7,0,2,8
Bay,Jason,bayja01,27,2005,0.7,447,388,59,110,23,3,21,69,6,5,44,106,2,7,4,4,8
Beltran,Carlos,beltrca01,28,2005,0.87,614,531,101,150,28,7,28,92,32,4,71,95,5,4,2,6,9
Cabrera,Miguel,cabremi01,22,2005,0.8,577,510,82,151,30,2,25,95,4,2,55,118,5,5,2,5,16
Giles,Marcus,gilesma01,27,2005,0.82,480,418,70,126,29,2,14,54,12,3,44,72,2,8,5,5,7
Jones,Chipper,jonesch06,33,2005,0.86,549,464,75,132,25,1,24,85,4,1,77,83,11,3,0,5,12
Mauer,Joe,mauerjo01,22,2005,0.34,261,230,36,68,15,2,10,34,3,1,24,37,1,3,1,3,4
Mora,Melvin,morame01,33,2005,0.85,559,481,86,142,29,1,20,73,10,5,58,91,1,12,5,3,8
Nixon,Trot,nixontr01,31,2005,0.8,335,292,48,83,17,2,15,51,2,1,36,59,2,3,1,3,4
Posada,Jorge,posadjo01,34,2005,0.85,532,447,71,121,28,1,21,82,2,2,75,103,6,7,0,3,17
Sexson,Richie,sexsori01,31,2005,0.82,324,280,45,76,15,1,18,53,1,1,38,66,3,4,0,2,8
Sweeney,Mike,sweenmi01,32,2005,0.83,472,414,63,123,23,1,19,77,5,3,48,54,7,5,1,4,9
Teixeira,Mark,teixema01,25,2005,0.82,571,503,81,140,30,3,29,91,4,2,55,106,8,10,1,2,9
Thomas,Frank,thomafr04,37,2005,0.84,422,351,57,91,21,0,22,62,1,1,62,77,3,6,0,3,6
Bagwell,Jeff,bagweje01,37,2005,0.87,610,521,88,140,26,2,27,81,7,3,78,114,5,7,0,4,15
Beltre,Adrian,beltrad01,26,2005,0.86,589,536,74,156,28,2,30,89,5,3,43,88,6,4,1,5,13
Blalock,Hank,blaloha01,25,2005,0.84,618,549,90,157,33,3,27,91,3,2,59,115,4,4,1,5,12
Blanco,Andres,blancan01,21,2005,0.22,234,207,31,61,11,3,6,27,4,3,21,33,1,3,2,1,4
Chavez,Eric,chaveer01,28,2005,0.86,554,483,80,135,26,2,26,82,7,3,66,90,9,2,0,3,13
Durazo,Erubiel,durazer01,31,2005,0.84,554,475,78,135,28,1,21,77,3,2,69,99,8,5,1,4,8
Floyd,Cliff,floydcl01,33,2005,0.83,471,408,61,112,28,1,19,65,8,3,51,89,7,7,1,4,8
Ford,Lew,fordle01,29,2005,0.75,537,468,74,137,27,3,14,63,14,2,53,68,3,9,2,5,11
Garciaparra,Nomar,garcino01,32,2005,0.85,449,409,68,122,27,5,15,64,7,2,28,45,2,6,1,5,9
Gonzalez,Luis,gonzalu01,38,2005,0.85,493,421,68,116,26,3,19,67,4,2,66,62,9,3,0,3,11
Guillen,Jose,guilljo01,29,2005,0.83,563,511,77,148,26,2,25,87,4,4,34,92,4,12,3,3,15
Holliday,Matt,hollima01,25,2005,0.65,420,378,60,110,27,3,13,54,4,3,33,76,1,5,2,2,8
Huff,Aubrey,huffau01,29,2005,0.86,604,545,81,164,31,2,27,87,4,2,48,72,9,5,1,5,13
Jones,Andruw,jonesan01,28,2005,0.87,589,520,83,141,29,2,29,89,6,4,60,120,5,5,0,4,16
Kearns,Austin,kearnau01,25,2005,0.76,357,310,47,86,16,2,13,51,5,2,41,74,2,4,1,1,8
Kent,Jeff,kentje01,37,2005,0.86,558,504,81,145,33,4,24,89,6,2,43,90,3,5,0,6,17
Klesko,Ryan,kleskry01,34,2005,0.84,487,416,59,115,27,1,17,68,4,3,62,76,6,3,1,5,9
Lee,Carlos,leeca01,29,2005,0.87,596,535,89,155,31,1,27,90,10,4,50,82,3,5,0,6,11
Lee,Derrek,leede02,30,2005,0.87,608,524,83,143,32,3,27,83,14,6,71,123,5,7,1,5,11
Lopez,Javy,lopezja01,35,2005,0.84,568,516,76,152,29,2,27,87,1,1,41,95,5,6,1,4,14
Lowell,Mike,lowelmi01,31,2005,0.86,591,525,78,148,35,1,25,85,4,2,56,80,6,4,1,5,14
Matsui,Hideki,matsuhi01,31,2005,0.84,610,535,85,154,33,2,21,91,3,1,66,89,3,3,1,5,15
Reed,Jeremy,reedje03,24,2005,0.22,233,206,32,63,12,1,6,27,5,2,22,32,2,3,1,1,5
Rodriguez,Ivan,rodriiv01,34,2005,0.84,545,494,75,151,32,2,18,77,7,4,42,89,5,4,1,4,15
Soriano,Alfonso,soriaal01,27,2005,0.88,602,555,88,162,33,3,29,81,23,6,31,112,4,10,1,5,7
Sosa,Sammy,sosasa01,37,2005,0.85,528,462,80,122,19,1,33,81,1,1,59,124,7,3,0,4,11
Tejada,Miguel,tejadmi01,29,2005,0.88,633,574,92,171,33,1,28,112,6,1,43,70,5,8,0,8,16
Vidro,Jose,vidrojo01,31,2005,0.85,493,433,64,130,28,1,14,62,3,1,50,52,4,3,4,3,12
Wells,Vernon,wellsve01,27,2005,0.87,568,520,83,152,34,3,23,80,7,2,39,74,2,4,1,4,15
Wilkerson,Brad,wilkebr01,28,2005,0.86,604,509,90,135,32,4,23,67,10,7,85,141,5,4,3,3,6
Wilson,Craig,wilsocr03,29,2005,0.83,558,486,77,129,27,4,24,72,3,2,46,138,3,22,1,3,10
Wright,David,wrighda03,23,2005,0.54,342,310,48,91,19,1,14,47,6,1,24,50,1,4,1,3,7
Adams,Russ,adamsru01,25,2005,0.25,239,214,31,61,10,2,9,30,3,1,20,33,1,3,1,1,6
Alou,Moises,aloumo01,39,2005,0.86,601,537,78,148,30,2,25,82,4,1,56,75,4,3,1,4,14
Anderson,Garret,anderga01,33,2005,0.86,505,472,63,142,31,2,19,82,4,2,28,71,7,1,0,4,8
Bellhorn,Mark,bellhma01,31,2005,0.83,541,457,75,117,27,3,16,63,7,4,74,141,2,5,2,3,7
Bradley,Milton,bradlmi01,27,2005,0.83,544,471,71,133,29,2,16,64,14,7,63,98,5,5,2,3,12
